Project Organization,Month Year,Total IC Amount
Atmospheric Science,2020-07,142012.68
Atmospheric Science,2020-08,64315.55
Atmospheric Science,2020-09,75814.29
Atmospheric Science,2020-10,68084.74
Atmospheric Science,2020-11,65522.09
Atmospheric Science,2020-12,97964.18
Atmospheric Science,2021-01,66776.9
Atmospheric Science,2021-02,67355.84
Atmospheric Science,2021-03,70435.79
Atmospheric Science,2021-04,82789.89
Atmospheric Science,2021-05,83913.95
Atmospheric Science,2021-06,96796.42
Atmospheric Science,2021-07,96240.07
Atmospheric Science,2021-08,89560.4
Atmospheric Science,2021-09,81199.39
Atmospheric Science,2021-10,93200.08
Atmospheric Science,2021-11,107406.75
Atmospheric Science,2021-12,81929.28
Atmospheric Science,2022-01,78450.28
Atmospheric Science,2022-02,101604.17
Atmospheric Science,2022-03,106924.59
Atmospheric Science,2022-04,189306.24
Atmospheric Science,2022-05,96358.69
Atmospheric Science,2022-06,107677.58
Atmospheric Science,2022-07,91352.78
Atmospheric Science,2022-08,80722.27
Atmospheric Science,2022-09,81778
Atmospheric Science,2022-10,82572.64
Atmospheric Science,2022-11,67996.92
Atmospheric Science,2022-12,66220.01
Atmospheric Science,2023-01,80201.19
Atmospheric Science,2023-02,56784.22
Atmospheric Science,2023-03,52286.11
Atmospheric Science,2023-04,56968.28
Atmospheric Science,2023-05,80087.56
Atmospheric Science,2023-06,91426.2
Atmospheric Science,2023-07,115234.36
Atmospheric Science,2023-08,99983.51
Atmospheric Science,2023-09,79153.59
Atmospheric Science,2023-10,77426.59
Atmospheric Science,2023-11,84984.02
Atmospheric Science,2023-12,75632.01
Atmospheric Science,2024-01,89447.34
Atmospheric Science,2024-02,97453.8
Atmospheric Science,2024-03,115210.47
Atmospheric Science,2024-04,94284.54
Atmospheric Science,2024-05,128987.43
Atmospheric Science,2024-06,98750.29
Atmospheric Science,2024-07,157948.25
Atmospheric Science,2024-08,104066.46
Atmospheric Science,2024-09,95038.55
Atmospheric Science,2024-10,113795.72
Atmospheric Science,2024-11,96783.16
Atmospheric Science,2024-12,92218.64
Atmospheric Science,2025-01,104900.47
Atmospheric Science,2025-02,91292.72
Atmospheric Science,2025-03,92310.7
Atmospheric Science,2025-04,89206.26
Atmospheric Science,2025-05,103183.17
Atmospheric Science,2025-06,213.6
Biodiversity Institute,2018-05,246.63
Biodiversity Institute,2018-06,43.97
Biodiversity Institute,2018-07,99.07
Biodiversity Institute,2018-08,889.36
Biodiversity Institute,2018-09,530.98
Biodiversity Institute,2018-10,421.98
Biodiversity Institute,2018-11,202.12
Biodiversity Institute,2018-12,202.12
Biodiversity Institute,2019-01,1007.32
Biodiversity Institute,2019-02,202.12
Biodiversity Institute,2019-04,6.64
Biodiversity Institute,2019-06,1017.08
Biodiversity Institute,2019-07,159.88
Biodiversity Institute,2019-08,295.78
Biodiversity Institute,2019-09,2.93
Biodiversity Institute,2019-10,-48.2
Biodiversity Institute,2019-11,1065.06
Biodiversity Institute,2019-12,946.44
Biodiversity Institute,2020-01,399.61
Biodiversity Institute,2020-02,477.23
Biodiversity Institute,2020-03,-666.87
Biodiversity Institute,2020-04,124.28
Biodiversity Institute,2020-05,223.15
Biodiversity Institute,2020-06,223.15
Biodiversity Institute,2020-07,225.5
Biodiversity Institute,2020-08,225.5
Biodiversity Institute,2020-09,225.5
Biodiversity Institute,2020-11,691.24
Biodiversity Institute,2020-12,615.89
Botany,2011-04,70.97
Botany,2011-05,10665
Botany,2011-06,13663.79
Botany,2011-07,7315.22
Botany,2011-08,15354.52
Botany,2011-09,7250.32
Botany,2011-10,11262.22
Botany,2011-11,13521.06
Botany,2011-12,7662.01
Botany,2012-01,6473.65
Botany,2012-02,11450.55
Botany,2012-03,8326.65
Botany,2012-04,8087.28
Botany,2012-05,9627.42
Botany,2012-06,10988.59
Botany,2012-07,7963.65
Botany,2012-08,11786.62
Botany,2012-09,8400.36
Botany,2012-10,8523.91
Botany,2012-11,7210.2
Botany,2012-12,5718.66
Botany,2013-01,6191.99
Botany,2013-02,7445.49
Botany,2013-03,7601.44
Botany,2013-04,7347.57
Botany,2013-05,8105.35
Botany,2013-06,12423.84
Botany,2013-07,8051.29
Botany,2013-08,8876.99
Botany,2013-09,6061.36
Botany,2013-10,7974.17
Botany,2013-11,8537.97
Botany,2013-12,6251.21
Botany,2014-01,7388.1
Botany,2014-02,8770.41
Botany,2014-03,9544.59
Botany,2014-04,11537.58
Botany,2014-05,10252.59
Botany,2014-06,18389.72
Botany,2014-07,13809.89
Botany,2014-08,16182.64
Botany,2014-09,7710.72
Botany,2014-10,8964.27
Botany,2014-11,8638.91
Botany,2014-12,8162.6
Botany,2015-01,7787.01
Botany,2015-02,12117.42
Botany,2015-03,14438.33
Botany,2015-04,11312.92
Botany,2015-05,16634.22
Botany,2015-06,36395.44
Botany,2015-07,27039.36
Botany,2015-08,21203.74
Botany,2015-09,18402.2
Botany,2015-10,25274.03
Botany,2015-11,37839.8
Botany,2015-12,35855.04
Botany,2016-01,35475.05
Botany,2016-02,103481.84
Botany,2016-03,437674.69
Botany,2016-04,149713.8
Botany,2016-05,147273.28
Botany,2016-06,207914.91
Botany,2016-07,174595.42
Botany,2016-08,210264.47
Botany,2016-09,113741.84
Botany,2016-10,120093.27
Botany,2016-11,101768.63
Botany,2016-12,117062.68
Botany,2017-01,83877.91
Botany,2017-02,90466.09
Botany,2017-03,87068.09
Botany,2017-04,109629.58
Botany,2017-05,94436.45
Botany,2017-06,128764.88
Botany,2017-07,117665.62
Botany,2017-08,112553.07
Botany,2017-09,54392.95
Botany,2017-10,68231.44
Botany,2017-11,57003.91
Botany,2017-12,49315.27
Botany,2018-01,32488.02
Botany,2018-02,44346.3
Botany,2018-03,16041.14
Botany,2018-04,20632.8
Botany,2018-05,24306.18
Botany,2018-06,46126.69
Botany,2018-07,35081.76
Botany,2018-08,25796.54
Botany,2018-09,22529.31
Botany,2018-10,22435.64
Botany,2018-11,29637.39
Botany,2018-12,32396.67
Botany,2019-01,20419.77
Botany,2019-02,24700.49
Botany,2019-03,53736.92
Botany,2019-04,29811.51
Botany,2019-05,30575.14
Botany,2019-06,28853.54
Botany,2019-07,52693.46
Botany,2019-08,21574.18
Botany,2019-09,14493.39
Botany,2019-10,8452.56
Botany,2019-11,19364.57
Botany,2019-12,11998.03
Botany,2020-01,22135.96
Botany,2020-02,19417.16
Botany,2020-03,14659.81
Botany,2020-04,12933.81
Botany,2020-05,-8252.52
Botany,2020-06,26203.55
Botany,2020-07,27496.57
Botany,2020-08,34250.78
Botany,2020-09,34334.35
Botany,2020-10,12891.28
Botany,2020-11,21423.81
Botany,2020-12,26687.02
Botany,2021-01,5148.85
Botany,2021-02,16697.18
Botany,2021-03,31502.36
Botany,2021-04,23746.06
Botany,2021-05,30203.48
Botany,2021-06,64855.33
Botany,2021-07,67653.62
Botany,2021-08,111492.19
Botany,2021-09,28521
Botany,2021-10,51785.91
Botany,2021-11,32072.58
Botany,2021-12,27955.17
Botany,2022-01,26575.48
Botany,2022-02,41270.21
Botany,2022-03,28533.3
Botany,2022-04,33007.9
Botany,2022-05,47976.99
Botany,2022-06,62792.71
Botany,2022-07,62568.57
Botany,2022-08,49769.98
Botany,2022-09,35485.78
Botany,2022-10,30141.7
Botany,2022-11,44407.42
Botany,2022-12,38971.08
Botany,2023-01,64802.91
Botany,2023-02,44163.15
Botany,2023-03,42241.09
Botany,2023-04,42034.56
Botany,2023-05,62669.82
Botany,2023-06,53877
Botany,2023-07,65181.94
Botany,2023-08,39629.31
Botany,2023-09,41182.25
Botany,2023-10,26979.31
Botany,2023-11,37137.76
Botany,2023-12,115800.65
Botany,2024-01,33114.42
Botany,2024-02,37681.72
Botany,2024-03,37186.96
Botany,2024-04,46443.42
Botany,2024-05,70675.43
Botany,2024-06,86511.6
Botany,2024-07,67917.55
Botany,2024-08,58598.84
Botany,2024-09,70508.31
Botany,2024-10,39287.87
Botany,2024-11,-428.8
Botany,2024-12,37290.72
Botany,2025-01,33417.36
Botany,2025-02,44415.18
Botany,2025-03,-5907.26
Botany,2025-04,26429.92
Botany,2025-05,32675.97
Botany,2025-06,270.57
COB Centers for Excellence,2021-11,4149.66
COB Centers for Excellence,2021-12,3997.76
COB Centers for Excellence,2022-01,494.84
COB Centers for Excellence,2022-02,0
COB Centers for Excellence,2022-06,997.2
COB Centers for Excellence,2022-07,10369.12
COB Centers for Excellence,2022-08,2957.81
COB Centers for Excellence,2022-09,5315.48
COB Centers for Excellence,2022-10,987.68
COB Centers for Excellence,2022-11,422.16
COB Centers for Excellence,2022-12,207.2
COB Centers for Excellence,2023-01,3766.37
COB Centers for Excellence,2023-02,4196.09
COB Centers for Excellence,2023-03,2833.17
COB Centers for Excellence,2023-04,1106.79
COB Centers for Excellence,2023-05,1813.99
COB Centers for Excellence,2023-06,5484.64
COB Centers for Excellence,2023-07,1685.74
COB Centers for Excellence,2023-08,7977.83
COB Centers for Excellence,2023-09,10497.59
COB Centers for Excellence,2023-10,6138.03
COB Centers for Excellence,2023-11,4679.4
COB Centers for Excellence,2023-12,1929.32
COB Centers for Excellence,2024-02,2890.46
COB Centers for Excellence,2024-03,2699.3
COB Centers for Excellence,2024-04,6141.66
COB Centers for Excellence,2024-05,9654.92
COB Centers for Excellence,2024-06,15997.34
COB Centers for Excellence,2024-08,9.98
COB Centers for Excellence,2024-09,638.37
COB Centers for Excellence,2024-10,665.5
COB Centers for Excellence,2024-11,608.47
COB Centers for Excellence,2024-12,359.07
COB Centers for Excellence,2025-01,1605.42
COB Centers for Excellence,2025-02,3734.59
COB Centers for Excellence,2025-03,8688.79
COB Centers for Excellence,2025-04,4945.12
COB Centers for Excellence,2025-05,14579.8
Campus Recreation,2019-01,1221.21
Campus Recreation,2019-02,22.44
Campus Recreation,2019-03,564.95
Campus Recreation,2019-04,472.4
Campus Recreation,2019-05,741.54
Campus Recreation,2019-06,3543.64
Campus Recreation,2019-07,899.03
Campus Recreation,2019-08,-4556.44
Campus Recreation,2019-09,162.23
Campus Recreation,2019-10,1795.28
Campus Recreation,2019-11,730.34
Campus Recreation,2019-12,720.72
Campus Recreation,2020-01,920.15
Campus Recreation,2020-02,761.69
Campus Recreation,2020-03,1188.91
Campus Recreation,2020-04,693.62
Campus Recreation,2020-05,410.43
Campus Recreation,2020-06,612.81
Campus Recreation,2020-07,1161.46
Campus Recreation,2020-08,830.31
Campus Recreation,2020-09,663.57
Campus Recreation,2020-10,1014.94
Campus Recreation,2020-11,2425.63
Campus Recreation,2020-12,666.08
Campus Recreation,2021-01,639.8
Campus Recreation,2021-02,890.55
Campus Recreation,2021-03,811.62
Campus Recreation,2021-04,574.84
Campus Recreation,2021-05,548.55
Campus Recreation,2021-06,309.82
Campus Recreation,2021-07,387.4
Campus Recreation,2021-08,436.18
Campus Recreation,2021-09,1275.67
Campus Recreation,2021-10,2566.43
Campus Recreation,2021-11,1621.61
Campus Recreation,2021-12,58.01
Campus Recreation,2022-01,98.33
Campus Recreation,2022-02,661.32
Campus Recreation,2022-03,191.4
Campus Recreation,2022-04,352.83
Campus Recreation,2022-05,256.31
Campus Recreation,2022-06,249.28
Campus Recreation,2022-07,156.79
Campus Recreation,2022-08,247.41
Campus Recreation,2022-09,1046.06
Campus Recreation,2022-10,1433.19
Campus Recreation,2022-11,1395.52
Campus Recreation,2022-12,337.56
Campus Recreation,2023-01,668.88
Campus Recreation,2023-02,1394.5
Campus Recreation,2023-03,1040.23
Campus Recreation,2023-04,1032.21
Campus Recreation,2023-05,1040.26
Campus Recreation,2023-06,536.18
Campus Recreation,2023-07,604.89
Campus Recreation,2023-08,557.13
Campus Recreation,2023-09,843.42
Campus Recreation,2023-10,926.41
Campus Recreation,2023-11,1360.55
Campus Recreation,2023-12,1002.51
Campus Recreation,2024-01,721.24
Campus Recreation,2024-02,779.77
Campus Recreation,2024-03,941.46
Campus Recreation,2024-04,846.67
Campus Recreation,2024-05,913.75
Campus Recreation,2024-06,540.8
Campus Recreation,2024-07,572.01
Campus Recreation,2024-08,460.06
Campus Recreation,2024-09,1033.64
Campus Recreation,2024-10,840.23
Campus Recreation,2024-11,857.13
Campus Recreation,2024-12,937.31
Campus Recreation,2025-01,1574.34
Campus Recreation,2025-02,1122.9
Campus Recreation,2025-03,804.21
Campus Recreation,2025-04,883.63
Campus Recreation,2025-05,374.46
Center for Global Studies,2018-04,765.65
Center for Global Studies,2018-05,332.31
Center for Global Studies,2018-06,76.25
Center for Global Studies,2018-07,187.38
Center for Global Studies,2018-08,17599.95
Center for Global Studies,2018-09,1547
Center for Global Studies,2018-10,1276.57
Center for Global Studies,2018-12,278.02
Center for Global Studies,2019-02,59.5
Center for Global Studies,2019-03,-6945.01
Center of Innovation for Flow through Porous Media,2016-01,10.52
Center of Innovation for Flow through Porous Media,2016-02,22.2
Center of Innovation for Flow through Porous Media,2016-03,4562.46
Center of Innovation for Flow through Porous Media,2016-04,2030.93
Center of Innovation for Flow through Porous Media,2016-05,2069.69
Center of Innovation for Flow through Porous Media,2016-06,14291.73
Center of Innovation for Flow through Porous Media,2016-07,15975.53
Center of Innovation for Flow through Porous Media,2016-08,9042.98
Center of Innovation for Flow through Porous Media,2016-09,5493.01
Center of Innovation for Flow through Porous Media,2016-10,3423.69
Center of Innovation for Flow through Porous Media,2016-11,5927.85
Center of Innovation for Flow through Porous Media,2016-12,5858.47
Center of Innovation for Flow through Porous Media,2017-01,4853
Center of Innovation for Flow through Porous Media,2017-02,7448.18
Center of Innovation for Flow through Porous Media,2017-03,4348.34
Center of Innovation for Flow through Porous Media,2017-04,8886.7
Center of Innovation for Flow through Porous Media,2017-05,16601.15
Center of Innovation for Flow through Porous Media,2017-06,88241.41
Center of Innovation for Flow through Porous Media,2017-07,24111.63
Center of Innovation for Flow through Porous Media,2017-08,32909.06
Center of Innovation for Flow through Porous Media,2017-09,25240.63
Center of Innovation for Flow through Porous Media,2017-10,40461.86
Center of Innovation for Flow through Porous Media,2017-11,30794.78
Center of Innovation for Flow through Porous Media,2017-12,62831.69
Center of Innovation for Flow through Porous Media,2018-01,37114.23
Center of Innovation for Flow through Porous Media,2018-02,43484.51
Center of Innovation for Flow through Porous Media,2018-03,60632.92
Center of Innovation for Flow through Porous Media,2018-04,37423.62
Center of Innovation for Flow through Porous Media,2018-05,45112.22
Center of Innovation for Flow through Porous Media,2018-06,48848.41
Center of Innovation for Flow through Porous Media,2018-07,43836.26
Center of Innovation for Flow through Porous Media,2018-08,81625.25
Center of Innovation for Flow through Porous Media,2018-09,-23240.69
Center of Innovation for Flow through Porous Media,2018-10,11539.12
Center of Innovation for Flow through Porous Media,2018-11,10938.34
Center of Innovation for Flow through Porous Media,2018-12,11625.2
Center of Innovation for Flow through Porous Media,2019-01,9012.94
Center of Innovation for Flow through Porous Media,2019-02,8737.01
Center of Innovation for Flow through Porous Media,2019-03,9159.94
Center of Innovation for Flow through Porous Media,2019-04,8046.05
Center of Innovation for Flow through Porous Media,2019-05,10190.38
Center of Innovation for Flow through Porous Media,2019-06,10576.96
Center of Innovation for Flow through Porous Media,2019-07,24991.68
Center of Innovation for Flow through Porous Media,2019-08,42054.63
Center of Innovation for Flow through Porous Media,2019-09,23513.53
Center of Innovation for Flow through Porous Media,2019-10,9483.99
Center of Innovation for Flow through Porous Media,2019-11,23211.05
Center of Innovation for Flow through Porous Media,2019-12,29954.79
Center of Innovation for Flow through Porous Media,2020-01,42594.96
Center of Innovation for Flow through Porous Media,2020-02,458335.67
Center of Innovation for Flow through Porous Media,2020-03,23056.29
Center of Innovation for Flow through Porous Media,2020-04,118674.45
Center of Innovation for Flow through Porous Media,2020-05,34584.38
Center of Innovation for Flow through Porous Media,2020-06,69554.97
Center of Innovation for Flow through Porous Media,2020-07,48330.06
Center of Innovation for Flow through Porous Media,2020-08,41781.38
Center of Innovation for Flow through Porous Media,2020-09,96013.88
Center of Innovation for Flow through Porous Media,2020-10,21509.43
Center of Innovation for Flow through Porous Media,2020-11,141056.18
Center of Innovation for Flow through Porous Media,2020-12,45217.31
Center of Innovation for Flow through Porous Media,2021-01,38080.16
Center of Innovation for Flow through Porous Media,2021-02,36964.75
Center of Innovation for Flow through Porous Media,2021-03,6315.74
Center of Innovation for Flow through Porous Media,2021-04,38789.35
Center of Innovation for Flow through Porous Media,2021-05,41519.69
Center of Innovation for Flow through Porous Media,2021-06,61438.34
Center of Innovation for Flow through Porous Media,2021-07,-451580.99
Center of Innovation for Flow through Porous Media,2021-08,53395.53
Center of Innovation for Flow through Porous Media,2021-09,44065.74
