"Proposal #","full proposal title","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","Created Date.x","Total Sponsor Costs","Sponsor Deadline","academic affairs","activity type","History Action Day and Comment","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","Actual_Submission_Month_Year","College/Division","Actual_Submission_Quarter","Actual_Funding_Quarter","Sponsor_Type_Grouped","Sponsor_Category","Submission_Status","Submission_Count","Award_Count","Total_Submission_Count","Received_Total_Sponsor_Costs"
"24-0799-P0006","EDA Tech Hubs Intermountain-West Nuclear Energy Corridor (INEC) Phase 1 | COST SHARE ONLY","Intermountain-West Nuclear Energy Corridor EDA Tech Hub","Curtis Nathan Biggs","Industry & Strategic Partnerships Office","Funded","ADD NEW","Economic Development Administration/Department of Commerce","Industry & Strategic Partnerships Office","11/1/2023","4/30/2024","New",,"24-0799",2024-04-30 19:40:55,0,"11/1/2023 12:00:00 AM",,"Other Sponsored Activity","4/30/2024 08:13:31 PM: DO NOT COUNT. After the fact. Cost Share ONLY. >> 5/1/2024 10:29:21 AM: No funding to UW. But was awarded. Ended 4/30/2024. Created to establish the cost share account with Post-Award.",2024-04-30 20:13:31,,2024-05-01 10:29:21,,"FY2024",,"FY2024",,2024-04-30 19:40:55,"FY2024",0,1,,"April-2024","Research & Economic Development","Q4 FY2024","Q4 FY2024","Non-profit","Others","Funded",0,1,1,0
"24-0800-P0001","WDH PE Teacher Development","WDH PE training grant","Kelly L. Simonton","Kinesiology & Health","Funded","Wyoming Department of Health",,"Kinesiology & Health","4/1/2024","9/30/2024","New",,"24-0800",2024-02-06 20:04:20,31927,"2/29/2024 12:00:00 AM",,"Other Sponsored Activity","2/26/2024 10:02:04 AM: Updating proposal form and budget. >> 2/27/2024 01:29:25 PM: Submitted to sponsor via e-mail on 02/27/2024. >> 3/27/2024 07:30:40 AM: PI communicated funding notice on 3/26/24",2024-02-27 13:29:25,,2024-03-27 07:30:40,,"FY2024",,"FY2024",,2024-02-06 20:04:20,"FY2024",21,29,,"February-2024","Health Sciences","Q3 FY2024","Q3 FY2024","State","Others","Funded",0,1,1,31927
"24-0801-P0001","Exploring the fit of naloxone distribution and trainings in Black communities","Exploring the fit of naloxone distribution and trainings in Black communities","Lauren Rose Gilbert","Kinesiology & Health","Transfer","ADD NEW","National Institute on Drug Abuse/National Institutes of Health/Department of Health and Human Services","Kinesiology & Health","11/1/2024","4/30/2024","Transfer",,"24-0801",2024-02-07 11:29:46,17801.64,"3/4/2024 12:00:00 AM",,"Basic Research","2/12/2024 10:16:35 AM: correction to budget >> 2/12/2024 02:21:12 PM: fixing a couple fields >> 3/4/2024 10:46:01 AM: correcting field >> 3/4/2024 10:46:35 AM: Submitted >> 6/6/2024 10:34:30 AM: Funded.",2024-03-04 10:46:35,,2024-06-06 10:34:30,,"FY2024",,"FY2024",,2024-02-07 11:29:46,"FY2024",26,94,,"March-2024","Health Sciences","Q3 FY2024","Q4 FY2024","Federal","Others","Funded",0,1,1,17801.64
"24-0801-P0002","Exploring the fit of naloxone distribution and trainings in Black communities","Exploring the fit of naloxone distribution and trainings in Black communities","Lauren Rose Gilbert","Kinesiology & Health","Funded","The Regents of the University of California, San Francisco","National Institute on Drug Abuse/National Institutes of Health/Department of Health and Human Services","Kinesiology & Health","7/1/2024","4/30/2025","Renewal",,"24-0801",2024-10-03 10:57:20,16482,"10/11/2024 12:00:00 AM",,"Basic Research","10/15/2024 01:58:20 PM: PI emailed prime sponsor the subaward documents 10/15/24 >> 2/4/2025 09:09:31 AM: Fully executed agreement",2024-10-15 13:58:20,,2025-02-04 09:09:31,,"FY2025",,"FY2025",,2024-10-03 10:57:20,"FY2025",12,112,,"October-2024","Health Sciences","Q2 FY2025","Q3 FY2025","Others","Others","Funded",0,1,1,16482
"24-0802-P0001","2024 AmeriCorps State and National Grant","Wyoming Conservation Corp Serve Wyoming AmeriCorps State and National Grant","Tyler Joe Carroll","Haub School of Environment & Natural Resources","Funded","Serve Wyoming",,"Haub School of Environment & Natural Resources","9/1/2024","9/1/2025","New",,"24-0802",2024-02-07 14:57:25,275000,"3/20/2024 12:00:00 AM",,"Other Sponsored Activity","3/8/2024 03:32:16 PM: Updates to proposal form 
 >> 3/21/2024 10:31:08 AM: Submitted to sponsor 3/19/24 by TL in egrants. >> 10/18/2024 05:11:52 PM: Funded.",2024-03-21 10:31:08,,2024-10-18 17:11:52,,"FY2024",,"FY2025",,2024-02-07 14:57:25,"FY2024",43,211,,"March-2024","Haub School of Environment & Natural Resources","Q3 FY2024","Q2 FY2025","Federal","Others","Funded",0,1,1,275000
"24-0802-P0002","2025 Wyoming Conservation Corps Serve Wyoming AmeriCorps State and National Grant","Wyoming Conservation Corp Serve Wyoming AmeriCorps State and National Grant","John Lad Koprowski","Haub School of Environment & Natural Resources","Submitted to Sponsor","Serve Wyoming",,"Haub School of Environment & Natural Resources","10/1/2025","9/30/2026","Competing Continuation",,"24-0802",2025-01-23 09:41:03,274995,"4/4/2025 12:00:00 AM",,"Other Sponsored Activity","3/28/2025 02:33:21 PM: Submitted via eGrants on 03/28/2025",2025-03-28 14:33:21,,,,"FY2025",,,,2025-01-23 09:41:03,"FY2025",64,,,"March-2025","Haub School of Environment & Natural Resources","Q3 FY2025",,"State","Others","Submitted",1,0,1,0
"24-0803-P0001","Developing a Wind River Indian Reservation (WRIR) Multi-Faceted Drought and Climate Resilience Office to Implement Drought and Climate Change Impact Mitigation for the WRIR","Developing a Wind River Indian Reservation (WRIR) Multi-Faceted Drought and Climate Resilience Office to Implement Drought and Climate Change Impact Mitigation for the WRIR","Virginia B. Paige","Ecosystem Science & Management","Submitted to Sponsor","National Oceanic and Atmospheric Administration/Department of Commerce",,"Ecosystem Science & Management","10/1/2024","9/30/2027","New",,"24-0803",2024-02-07 19:40:06,0,"2/15/2024 12:00:00 AM",,"Applied Research","3/4/2024 10:39:32 AM: Submitted",2024-03-04 10:39:32,,,,"FY2024",,,,2024-02-07 19:40:06,"FY2024",26,,,"March-2024","Agriculture","Q3 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0806-P0001","Expanding and Enhancing Masonry Student Education in the West","Expanding and Enhancing Masonry Student Education in the West","Jennifer Elaine Tanner Eisenhauer","Civil & Architectural Engineering & Construction Management","Funded","ADD NEW",,"Civil & Architectural Engineering & Construction Management","5/1/2024","5/29/2026","New",,"24-0806",2024-02-08 13:43:40,107581,"2/19/2024 12:00:00 AM",,"Applied Research","3/13/2024 10:22:57 AM: Submitted >> 6/18/2024 12:55:34 PM: Per notice from the PI >> 9/27/2024 09:25:22 AM: Funded.",2024-03-13 10:22:57,2024-06-18 12:55:34,2024-09-27 09:25:22,,"FY2024","FY2024","FY2025",,2024-02-08 13:43:40,"FY2024",34,198,,"March-2024","Engineering","Q3 FY2024","Q1 FY2025","Business","Others","Funded",0,1,1,107581
"24-0807-P0001","Teacher Retention: Supporting Special Education Teachers During Induction","Teacher Retention: Supporting Special Education Teachers During Induction","Eric J Moody","Wyoming Institute for Disabilities WIND","Not Funded","University of Washington, Seattle","Spencer Foundation","Wyoming Institute for Disabilities WIND","1/1/2025","12/31/2029","New",,"24-0807",2024-02-08 13:56:12,187053,"2/13/2024 12:00:00 AM",,"Applied Research","2/8/2024 02:26:40 PM: updates to proposal form >> 2/12/2024 08:34:10 AM: Updates to approvers, everyone will have to re-certify. >> 2/19/2024 04:55:46 PM: Submitted to sponsor 2/14/24 >> 1/14/2025 12:04:49 PM: per task from unit. Project not funded.",2024-02-19 16:55:46,,,2025-01-14 12:04:49,"FY2024",,,"FY2025",2024-02-08 13:56:12,"FY2024",11,,330,"February-2024","Health Sciences","Q3 FY2024",,"Others","Others","Submitted",1,0,1,0
"24-0808-P0001","Red Desert to Hoback Mule Deer Migrations Project","Red Desert to Hoback Mule Deer Migrations - 10 Country Chapter","Matthew Kauffman","Wyoming Coop Unit","Funded","Muley Fanatic Foundation",,"Wyoming Coop Unit","4/1/2017","12/31/2027","New",,"24-0808",2024-02-08 15:48:03,10000,"2/14/2024 12:00:00 AM",,"Applied Research","2/14/2024 11:25:50 AM: Manually approved due to PI foreign travel - see notes and attachments >> 2/14/2024 04:55:05 PM: Submitted on 02/14/2024 >> 9/5/2024 11:10:23 AM: Funded.",2024-02-14 16:55:05,,2024-09-05 11:10:23,,"FY2024",,"FY2025",,2024-02-08 15:48:03,"FY2024",6,204,,"February-2024","Agriculture","Q3 FY2024","Q1 FY2025","Non-profit","Others","Funded",0,1,1,10000
"24-0809-P0001","Attenuation of Sjögren’s Syndrome Via Stimulation of Regulatory Cells","ROI  Understanding Mucosal Immunity","David W Pascual","Veterinary Science","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",,"Veterinary Science","10/1/2024","9/30/2029","Resubmission",,"24-0809",2024-02-08 16:05:48,1806250,"3/5/2024 12:00:00 AM",,"Basic Research","2/28/2024 03:05:23 PM: Submitted to sponsor via ASSIST on 02/28/2024.",2024-02-28 15:05:23,,,,"FY2024",,,,2024-02-08 16:05:48,"FY2024",20,,,"February-2024","Agriculture","Q3 FY2024",,"Federal","NIH","Submitted",1,0,1,0
"24-0810-P0001","Red Desert to Hoback Mule Deer Migrations","Red Desert to Hoback Mule Deer Migrations - HQ","Matthew Kauffman","Wyoming Coop Unit","Submitted to Sponsor","Muley Fanatic Foundation",,"Wyoming Coop Unit","4/1/2017","12/31/2027","New",,"24-0810",2024-02-08 16:50:53,10000,"2/22/2024 12:00:00 AM",,"Applied Research","2/14/2024 11:26:35 AM: Manually approved due to PI foreign travel.  See notes and attachments. >> 2/15/2024 01:25:22 PM: Submitted on 02/15/2024 To be considered in May.",2024-02-15 13:25:22,,,,"FY2024",,,,2024-02-08 16:50:53,"FY2024",7,,,"February-2024","Agriculture","Q3 FY2024",,"Non-profit","Others","Submitted",1,0,1,0
"24-0811-P0001","Surveys to Revisit Rare Land Snails in the Black Hills","USFS Black Hills Land Snails","Lusha Marguerite Tronstad","Wyo Natural Diversity Database","Funded","Forest Service/Department of Agriculture",,"Wyo Natural Diversity Database","4/15/2024","9/1/2025","New",,"24-0811",2024-02-09 09:54:51,9523.38,"3/8/2024 12:00:00 AM",,"Basic Research","2/12/2024 12:58:07 PM: Updates to proposal form, key personnel tab >> 3/5/2024 07:22:43 AM: Draft agreement received. Per sponsor,  the project was approved for funding, contingent upon the FY24 budget. >> 3/5/2024 07:23:20 AM: Per sponsor, project approved for funding contingent upon passing the FY24 budget. >> 5/13/2024 04:26:58 PM: Funded.",2024-03-05 07:22:43,2024-03-05 07:23:20,2024-05-13 16:26:58,,"FY2024","FY2024","FY2024",,2024-02-09 09:54:51,"FY2024",25,69,,"March-2024","Research & Economic Development","Q3 FY2024","Q4 FY2024","Federal","Others","Funded",0,1,1,9523.38
"24-0812-P0001","Disturbance impacts on vegetative recovery in subalpine forests","Snowy Range Joint Venture Agreement RMRS","Daniel Charles Laughlin","Botany","Funded","Forest Service/Department of Agriculture",,"Botany","7/1/2024","12/31/2025","New",,"24-0812",2024-02-12 08:36:42,80000,"3/15/2024 12:00:00 AM",,"Applied Research","3/6/2024 05:04:19 PM: In review with sponsor per PI on 03/06/2024 >> 4/19/2024 02:36:09 PM: Agreement under review. >> 5/27/2024 11:41:33 AM: Awarded in the amount of $80,000",2024-03-06 17:04:19,2024-04-19 14:36:09,2024-05-27 11:41:33,,"FY2024","FY2024","FY2024",,2024-02-12 08:36:42,"FY2024",24,82,,"March-2024","Agriculture","Q3 FY2024","Q4 FY2024","Federal","Others","Funded",0,1,1,80000
"24-0813-P0001","Economic Analysis of the Sugar Beet Industry","Economic Analysis of the Sugar Beet Industry","Chris Bastian","Agriculture & Applied Economics","Funded","Cowboy Clean Fuels, Inc.",,"COB Centers for Excellence","2/9/2024","6/30/2024","New",,"24-0813",2024-02-12 09:40:17,31490,"2/12/2024 12:00:00 AM",,"Applied Research","2/12/2024 11:15:18 AM: Correcting units per discussion with PI. >> 2/15/2024 03:40:20 PM: Per Dave Aadland's request, adding person months to Key Personnel section of proposal form. >> 2/15/2024 03:42:22 PM: Approving change to person months per request received from Dave Aadland. >> 2/15/2024 03:46:55 PM: Updating status. >> 2/15/2024 03:47:10 PM: Funded.",2024-02-15 15:46:55,,2024-12-11 17:36:23,,"FY2024",,"FY2025",,2024-02-12 09:40:17,"FY2024",4,300,,"February-2024","Business","Q3 FY2024","Q2 FY2025","Business","Others","Funded",0,1,1,31490
"24-0814-P0001","Genetics of Yellowstone Lake Cutthroat Trout","Genetics of Yellowstone Lake Cutthroat Trout","Catherine E. Wagner","Botany","Funded","National Park Service/Department of the Interior",,"Botany","3/1/2024","6/30/2025","Other",,"24-0814",2024-02-12 13:14:49,34656,"3/1/2024 12:00:00 AM",,"Basic Research","2/27/2024 11:31:18 AM: putting back in development to fix budget totals to match approved amount (see attachments) >> 2/27/2024 01:32:54 PM: Revising budget per PI >> 3/4/2024 12:10:58 PM: Submitted on 03/04/2024.  Unsolicited task agreement. >> 4/24/2024 12:59:51 PM: Received Task Agreement.  Setting up award and routing to Agreement Review >> 5/6/2024 08:11:59 AM: Funded $34,656 Task Order P24AC00525-00",2024-03-04 12:10:58,2024-04-24 12:59:51,2024-05-06 08:11:59,,"FY2024","FY2024","FY2024",,2024-02-12 13:14:49,"FY2024",21,63,,"March-2024","Agriculture","Q3 FY2024","Q4 FY2024","Federal","Others","Funded",0,1,1,34656
"24-0815-P0001","1) Evaluating Factors Influencing Elk Recruitment in Colorado; 2) Response of Elk to Human Recreation at Multiple Scales: Demographic Shifts and Behaviorally Mediated Fluctuations in Local Abundance","RMEF - 2024 - Colorado Elk Study","Joseph Dale Holbrook","Haub School of Environment & Natural Resources","Funded","Rocky Mountain Elk Foundation",,"Haub School of Environment & Natural Resources","4/30/2024","4/1/2026","New",,"24-0815",2024-02-12 14:15:56,22565,"2/21/2024 12:00:00 AM",,"Applied Research","2/13/2024 08:55:34 AM: Updates needed to proposal form. >> 2/19/2024 10:51:04 AM: update to proposal development >> 3/1/2024 02:56:05 PM: Submitted to sponsor 2/20/24 >> 6/26/2024 02:03:38 PM: Funded.",2024-03-01 14:56:05,,2024-06-26 14:03:38,,"FY2024",,"FY2024",,2024-02-12 14:15:56,"FY2024",18,117,,"March-2024","Haub School of Environment & Natural Resources","Q3 FY2024","Q4 FY2024","Non-profit","Others","Funded",0,1,1,22565
"24-0816-P0001","2024 SEASON EXTENSION EDUCATION WORKSHOPS PROJECT","Season Extension Education Workshops Project","Jeffrey Michael Edwards","UW Extension","Funded","Wyoming Department of Agriculture",,"UW Extension","2/1/2024","9/30/2024","New",,"24-0816",2024-02-13 09:07:13,47865,"3/1/2024 12:00:00 AM",,"Instruction","2/15/2024 07:09:30 AM: Updating proposal form - credit, etc. >> 2/19/2024 03:16:56 PM: PI confirmed submission to sponsor 02/19/2024. >> 4/5/2024 04:40:54 PM: Funded. Contract Under review.",2024-02-19 15:16:56,,2024-04-05 16:40:54,,"FY2024",,"FY2024",,2024-02-13 09:07:13,"FY2024",7,46,,"February-2024","Agriculture","Q3 FY2024","Q4 FY2024","State","Others","Funded",0,1,1,47865
"24-0817-P0001","MCA: Consequential intraspecific variation in elemental traits","MCA: Consequences of anthropogenic- driven selection on zooplankton traits and feedbacks on ecosystem function","Amy Catherine Krist","Zoology & Physiology","Funded","National Science Foundation",,"Zoology & Physiology","1/1/2025","12/31/2027","New",,"24-0817",2024-02-13 11:03:04,224313,"3/1/2024 12:00:00 AM",,"Basic Research","2/29/2024 09:17:09 AM: Submitted on 02/29/2024 at 9:15am >> 8/6/2024 03:21:12 PM: Award rec'd",2024-02-29 09:17:09,,2024-08-06 15:21:12,,"FY2024",,"FY2025",,2024-02-13 11:03:04,"FY2024",16,159,,"February-2024","Agriculture","Q3 FY2024","Q1 FY2025","Federal","NSF","Funded",0,1,1,224313
"24-0819-P0001","Expanding the evidence base for climate investments toward transformative pathways: A framework to understand climate change adaptation process-outcome linkages.","Expanding the evidence base for climate investments toward transformative pathways: A framework to understand climate change adaptation process-outcome linkages.","Rebecca Witinok-Huber","Haub School of Environment & Natural Resources","Closed","National Oceanic and Atmospheric Administration/Department of Commerce",,"Haub School of Environment & Natural Resources","9/2/2024","9/1/2026","New",,"24-0819",2024-02-13 14:43:11,298301,"3/20/2024 12:00:00 AM",,"Basic Research","3/14/2024 11:32:01 AM: Thanks for your time and review! >> 3/18/2024 01:01:48 PM: Submitted to sponsor via grants.gov 03/18/2024 >> 6/18/2024 12:31:04 PM: 6/3/2024 - Sponsor is recommending proposal for funding. >> 9/27/2024 09:27:09 AM: Funded. >> 5/12/2025 10:14:47 AM: Termination notice received",2024-03-18 13:01:48,2024-06-18 12:31:04,2025-05-12 10:14:47,,"FY2024","FY2024","FY2025",,2024-02-13 14:43:11,"FY2024",34,420,,"March-2024","Haub School of Environment & Natural Resources","Q3 FY2024","Q4 FY2025","Federal","Others","Funded",0,1,1,298301
"24-0820-P0001","Red Desert Mule Deer Migration Project","Red Desert Mule Deer Migration - MDF","Matthew Kauffman","Wyoming Coop Unit","Funded","Mule Deer Foundation",,"Wyoming Coop Unit","3/1/2024","6/30/2025","New",,"24-0820",2024-02-13 15:02:35,20000,"2/28/2024 12:00:00 AM",,"Applied Research","2/14/2024 12:44:17 PM: Moving back into development to update cost share and budget >> 2/14/2024 01:13:24 PM: Ready for internal review and approval >> 3/4/2024 11:10:27 AM: Submitted by PI on 02/22/2024 >> 8/22/2024 03:43:31 PM: Awarded.",2024-03-04 11:10:27,,2024-08-22 15:43:31,,"FY2024",,"FY2025",,2024-02-13 15:02:35,"FY2024",20,171,,"March-2024","Agriculture","Q3 FY2024","Q1 FY2025","Non-profit","Others","Funded",0,1,1,20000
"24-0821-P0001","Climate Adaptation Center in Central Wyoming (CACICW)","Climate Adaptation Center in Central Wyoming (CACICW)","Maohong Fan","Energy & Petroleum Engineering","Submitted to Sponsor","Central Wyoming College","U.S. Department of Energy","Energy & Petroleum Engineering","3/1/2025","2/28/2028","New",,"24-0821",2024-02-13 15:47:02,200000,"2/26/2024 12:00:00 AM",,"Basic Research","2/26/2024 04:34:57 PM: Subrecipient documents provided to sponsor, proposal submitted. 
",2024-02-26 16:34:57,,,,"FY2024",,,,2024-02-13 15:47:02,"FY2024",13,,,"February-2024","Engineering","Q3 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0822-P0001","Wyoming MMRC Community Action Team","Wyoming MMRC Community Action Team","Kirbie Bryant Smalley","Rural Health","Not Funded","Wyoming Department of Health",,"Rural Health","10/1/2024","9/30/2029","New",,"24-0822",2024-02-13 15:56:43,169838,"2/23/2024 12:00:00 AM",,"Applied Research","2/21/2024 09:09:07 AM: Re-routing to reflect updates for approver in College of Health Sciences Dean Office. >> 2/21/2024 02:04:14 PM: Sent notice to PI that proposal may be submitted to sponsor, once ready. >> 5/30/2025 09:28:19 AM: Per conversation with K. Enyeart",2024-02-21 14:04:14,,,2025-05-30 09:28:19,"FY2024",,,"FY2025",2024-02-13 15:56:43,"FY2024",8,,464,"February-2024","Health Sciences","Q3 FY2024",,"State","Others","Submitted",1,0,1,0
"24-0823-P0001","Grand Forks Core Measures Survey","Grand Forks Drug Free Communities","Laurel Allison Wimbish","Wyoming Survey & Analysis Center","Funded","ADD NEW",,"Wyoming Survey & Analysis Center","3/1/2024","3/1/2025","Other",,"24-0823",2024-02-14 13:52:36,4997.05,"2/29/2024 12:00:00 AM",,"Other Sponsored Activity","2/15/2024 02:05:01 PM: updates to proposal form >> 2/19/2024 04:54:58 PM: Submitted to sponsor 2/19/24 >> 3/26/2024 02:46:20 PM: Under consideration >> 4/1/2024 03:39:42 PM: Funded.",2024-02-19 16:54:58,2024-03-26 14:46:20,2024-04-01 15:39:42,,"FY2024","FY2024","FY2024",,2024-02-14 13:52:36,"FY2024",5,42,,"February-2024","Research & Economic Development","Q3 FY2024","Q4 FY2024","State","Others","Funded",0,1,1,4997.05
"24-0824-P0001","RFA-029: Investigating the impact of soil microbial communities on plant resilience in challenging environments, SMD","RFA - 029: Investigating the impact of soil microbial biogeography on plant resilience in challenging environments","Shawna M. McBride","Physics & Astronomy","Not Funded","National Aeronautics and Space Administration",,"Science Institute","9/1/2024","8/31/2025","New",,"24-0824",2024-02-14 13:52:44,100000,"2/26/2024 12:00:00 AM",,"Basic Research","2/22/2024 12:08:12 PM: Adjustments to credit to equal 100% >> 2/22/2024 03:28:16 PM: Taking back to development to try and fix routing, certification and notification issue. >> 2/26/2024 04:50:58 PM: Submitted on 02/26/2024 >> 9/23/2024 02:59:14 PM: NPSIRES is showing a proposal status of declined.",2024-02-26 16:50:58,,,2024-09-23 14:59:14,"FY2024",,,"FY2025",2024-02-14 13:52:44,"FY2024",12,,210,"February-2024","Research & Economic Development","Q3 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0825-P0001","RFA - 029: Using novel bacteria isolated from Mars-like environments to promote plant growth in lunar and Martian regolith simulants, SMD","RFA - 029: Using novel bacteria isolated from Mars-like environments to promote plant growth in lunar and Martian regolith simulants","Shawna M. McBride","Physics & Astronomy","Not Funded","National Aeronautics and Space Administration",,"Molecular Biology","9/1/2024","8/31/2025","New",,"24-0825",2024-02-14 14:11:17,100000,"2/26/2024 12:00:00 AM",,"Basic Research","2/26/2024 04:05:53 PM: See submitted proposal >> 9/23/2024 03:01:00 PM: NSPIRES is showing a proposal status of declined.",2024-02-26 16:05:53,,,2024-09-23 15:01:00,"FY2024",,,"FY2025",2024-02-14 14:11:17,"FY2024",12,,210,"February-2024","Agriculture","Q3 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0826-P0001","Wyoming Maternal Mortality Review Committee Abstraction Services","Wyoming Maternal Mortality Review Committee Abstraction Services","Esther H. Gilman-Kehrer","School of Nursing","Funded","Wyoming Department of Health","Wyoming Department of Health","College of Health Sciences Deans Office","10/1/2024","9/30/2029","New",,"24-0826",2024-02-15 12:59:56,25000,"2/23/2024 12:00:00 AM",,"Other Sponsored Activity","2/23/2024 12:40:25 PM: Updating proposal form to reflect UW as lead applicant. >> 2/27/2024 01:07:54 PM: Submitted to sponsor via email on 02/27/2024. >> 5/9/2024 10:50:00 AM: draft contract received 5/7/2024",2024-02-27 13:07:54,,2024-05-09 10:50:00,,"FY2024",,"FY2024",,2024-02-15 12:59:56,"FY2024",12,72,,"February-2024","Health Sciences","Q3 FY2024","Q4 FY2024","State","Others","Funded",0,1,1,25000
"24-0827-P0001","Characterizing Spatio-Temporal patterns of Plant-Available Water after Wildfire in Headwater Catchments","Characterizing Spatio-Temporal patterns of Plant-Available Water after Wildfire in Headwater Catchments","Ryan Webb","Civil & Architectural Engineering & Construction Management","Not Funded","National Science Foundation",,"Civil & Architectural Engineering & Construction Management","1/1/2025","12/31/2028","New",,"24-0827",2024-02-15 14:44:52,598111,"5/14/2024 12:00:00 AM",,"Basic Research","5/14/2024 01:38:44 PM: Fixing submission date >> 5/14/2024 01:39:03 PM: Submitted >> 12/9/2024 08:21:39 AM: Not recommended for funding per notice from NSF 12/8/2024.",2024-05-14 13:39:03,,,2024-12-09 08:21:39,"FY2024",,,"FY2025",2024-02-15 14:44:52,"FY2024",89,,209,"May-2024","Engineering","Q4 FY2024",,"Federal","NSF","Submitted",1,0,1,0
"24-0829-P0001","2024 North Dakota Adult Tobacco Survey","2024 North Dakota Adult Tobacco Survey","Brian J. Harnisch","Wyoming Survey & Analysis Center","Funded","North Dakota Department of Health and Human Services",,"Research & Economic Development","3/1/2024","10/31/2024","Other",,"24-0829",2024-02-15 15:32:51,114467.61,"2/29/2024 12:00:00 AM",,"Other Sponsored Activity","2/26/2024 12:54:20 PM: Submitted. >> 2/26/2024 12:54:28 PM: Funded.",2024-02-26 12:54:20,,2024-02-26 12:54:28,,"FY2024",,"FY2024",,2024-02-15 15:32:51,"FY2024",11,0,,"February-2024","Research & Economic Development","Q3 FY2024","Q3 FY2024","State","Others","Funded",0,1,1,114467.61
"24-0830-P0001","Enhancing Grid Security: A Holistic Full Stack Security Implementation Using Zero-Trust Strategies and Digital Twins","Enhancing Grid Security: A Holistic Full Stack Security Implementation Using Zero-Trust Strategies and Digital Twins","Diksha Shukla","Electrical Engineering & Computer Science","Not Funded","U.S. Department of Energy",,"Electrical Engineering & Computer Science","8/1/2024","7/31/2027","New",,"24-0830",2024-02-16 07:26:02,1642224,"3/4/2024 12:00:00 AM",,"Applied Research","3/4/2024 01:11:59 PM: See Notes >> 9/26/2024 11:40:17 AM: Proposal not selected for an award based on correspondence from the Sponsor.",2024-03-04 13:11:59,,,2024-09-26 11:40:17,"FY2024",,,"FY2025",2024-02-16 07:26:02,"FY2024",18,,206,"March-2024","Engineering","Q3 FY2024",,"Federal","DOE","Submitted",1,0,1,0
"24-0831-P0001","The Wyoming Gas Injection Initiative (WGII) - Phase I and II","The Wyoming Gas Injection Initiative (WGII)","Mohammad Piri","Center of Innovation for Flow through Porous Media","Funded","State of Wyoming",,"Center of Innovation for Flow through Porous Media","5/1/2025","12/31/2032","Other",,"24-0831",2024-02-16 10:03:13,48500000,"10/13/2023 12:00:00 AM",,"Applied Research","5/15/2025 02:38:53 PM: State Appropriation Funding. >> 5/15/2025 02:39:14 PM: 2023 and 2024 State Appropriations.",2025-05-15 14:38:53,,2025-05-15 14:39:14,,"FY2025",,"FY2025",,2024-02-16 10:03:13,"FY2024",454,0,,"May-2025","Research & Economic Development","Q4 FY2025","Q4 FY2025","State","Others","Funded",0,1,1,48500000
"24-0832-P0001","Exploring the Limits of Human-AI Teaming for Automating Network Configuration as a Response to Cybersecurity Events Through a Mesh of Virtual Agents","Exploring the Limits of Human-AI Teaming for Automating Network Configuration as a Response to Cybersecurity Events Through a Mesh of Virtual Agents","Diksha Shukla","Electrical Engineering & Computer Science","Submitted to Sponsor","University of Idaho","National Aeronautics and Space Administration","Electrical Engineering & Computer Science","8/15/2024","8/14/2025","New",,"24-0832",2024-02-16 18:13:21,29939,"2/26/2024 12:00:00 AM",,"Applied Research","2/19/2024 02:03:28 PM: Edit sponsors >> 3/4/2024 02:12:51 PM: via email",2024-03-04 14:12:51,,,,"FY2024",,,,2024-02-16 18:13:21,"FY2024",17,,,"March-2024","Engineering","Q3 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0833-P0001","Leverage AI for Asset Inventories & Management","Leverage AI for Asset Inventories & Management","Ahmed Fathy Abdelaty Ahmed","Civil & Architectural Engineering & Construction Management","Submitted to Sponsor","ADD NEW","ADD NEW","Civil & Architectural Engineering & Construction Management","8/17/2024","8/16/2026","New",,"24-0833",2024-02-19 10:51:55,52463,"3/21/2024 12:00:00 AM",,"Applied Research","2/28/2024 01:41:45 PM: Updating proposal form. >> 3/4/2024 01:22:53 PM: Updating proposal form. >> 3/6/2024 03:51:12 PM: Submitted to sponsor via e-mail on 03/06/2024.",2024-03-06 15:51:12,,,,"FY2024",,,,2024-02-19 10:51:55,"FY2024",16,,,"March-2024","Engineering","Q3 FY2024",,"State","Others","Submitted",1,0,1,0
