"Project Organization","Expenditure Month Year","Total Expenditure Amount"
"Geology & Geophysics","2025-05",14559.61
"Geology & Geophysics","2025-06",221.94
"Haub School of Environment & Natural Resources","2021-07",30845.43
"Haub School of Environment & Natural Resources","2021-08",23486.34
"Haub School of Environment & Natural Resources","2021-09",18509.97
"Haub School of Environment & Natural Resources","2021-10",10280.03
"Haub School of Environment & Natural Resources","2021-11",8270.34
"Haub School of Environment & Natural Resources","2021-12",14195.29
"Haub School of Environment & Natural Resources","2022-01",3573.28
"Haub School of Environment & Natural Resources","2022-02",9244.94
"Haub School of Environment & Natural Resources","2022-03",25624.7
"Haub School of Environment & Natural Resources","2022-04",12808.63
"Haub School of Environment & Natural Resources","2022-05",28449.89
"Haub School of Environment & Natural Resources","2022-06",26053.2
"Haub School of Environment & Natural Resources","2022-07",5895.74
"Haub School of Environment & Natural Resources","2022-08",8778.85
"Haub School of Environment & Natural Resources","2022-09",12629.76
"Haub School of Environment & Natural Resources","2022-10",7427.48
"Haub School of Environment & Natural Resources","2022-11",8419.97
"Haub School of Environment & Natural Resources","2022-12",8466.09
"Haub School of Environment & Natural Resources","2023-01",15456.36
"Haub School of Environment & Natural Resources","2023-02",6823.66
"Haub School of Environment & Natural Resources","2023-03",9436.82
"Haub School of Environment & Natural Resources","2023-04",14787.64
"Haub School of Environment & Natural Resources","2023-05",25731.58
"Haub School of Environment & Natural Resources","2023-06",35150.91
"Haub School of Environment & Natural Resources","2023-07",60159.81
"Haub School of Environment & Natural Resources","2023-08",23725.35
"Haub School of Environment & Natural Resources","2023-09",11303
"Haub School of Environment & Natural Resources","2023-10",10970.35
"Haub School of Environment & Natural Resources","2023-11",34003.44
"Haub School of Environment & Natural Resources","2023-12",25408.83
"Haub School of Environment & Natural Resources","2024-01",12759.11
"Haub School of Environment & Natural Resources","2024-02",7607.78
"Haub School of Environment & Natural Resources","2024-03",12374.69
"Haub School of Environment & Natural Resources","2024-04",11590.67
"Haub School of Environment & Natural Resources","2024-05",20059.81
"Haub School of Environment & Natural Resources","2024-06",34486.3
"Haub School of Environment & Natural Resources","2024-07",49291.51
"Haub School of Environment & Natural Resources","2024-08",38940.23
"Haub School of Environment & Natural Resources","2024-09",10585.4
"Haub School of Environment & Natural Resources","2024-10",15758.07
"Haub School of Environment & Natural Resources","2024-11",10731.19
"Haub School of Environment & Natural Resources","2024-12",15168.18
"Haub School of Environment & Natural Resources","2025-01",13562.74
"Haub School of Environment & Natural Resources","2025-02",19022.78
"Haub School of Environment & Natural Resources","2025-03",18074.59
"Haub School of Environment & Natural Resources","2025-04",12127.1
"Haub School of Environment & Natural Resources","2025-05",20268.55
"Haub School of Environment & Natural Resources","2025-06",882.24
"IMPACT 307","2021-07",7931.77
"IMPACT 307","2021-08",7828.03
"IMPACT 307","2021-09",7633.89
"IMPACT 307","2021-10",27386.59
"IMPACT 307","2021-11",7859.82
"IMPACT 307","2021-12",7754.32
"IMPACT 307","2022-01",8372.63
"IMPACT 307","2022-02",8812.01
"IMPACT 307","2022-03",13825.81
"IMPACT 307","2022-04",8622.31
"IMPACT 307","2022-05",9328.75
"IMPACT 307","2022-06",12361
"IMPACT 307","2022-07",7691.89
"IMPACT 307","2022-08",7860.06
"IMPACT 307","2022-09",12839.35
"IMPACT 307","2022-10",8329.64
"IMPACT 307","2022-11",13407.09
"IMPACT 307","2022-12",23490.97
"IMPACT 307","2023-01",8533.64
"IMPACT 307","2023-02",12798.4
"IMPACT 307","2023-03",8508.56
"IMPACT 307","2023-04",8684.27
"IMPACT 307","2023-05",8257.56
"IMPACT 307","2023-06",6454.81
"IMPACT 307","2023-07",6943.99
"IMPACT 307","2023-08",8526.01
"IMPACT 307","2023-09",11878.6
"IMPACT 307","2023-10",7670.56
"IMPACT 307","2023-11",8887.28
"IMPACT 307","2023-12",11592.62
"IMPACT 307","2024-01",6739.3
"IMPACT 307","2024-02",5986.56
"IMPACT 307","2024-03",5950.54
"IMPACT 307","2024-04",4870.86
"IMPACT 307","2024-05",4737.06
"IMPACT 307","2024-06",5303.36
"IMPACT 307","2024-07",4239.83
"IMPACT 307","2024-08",508.23
"IMPACT 307","2024-09",0
"IMPACT 307","2024-10",626.85
"IMPACT 307","2024-11",39.1
"IMPACT 307","2024-12",8.62
"IMPACT 307","2025-01",195.26
"IMPACT 307","2025-02",54.06
"INBRE Program","2021-07",132035.2
"INBRE Program","2021-08",105260.39
"INBRE Program","2021-09",68351.05
"INBRE Program","2021-10",51814.13
"INBRE Program","2021-11",51009.82
"INBRE Program","2021-12",52415.87
"INBRE Program","2022-01",45880.89
"INBRE Program","2022-02",64317.59
"INBRE Program","2022-03",91834.7
"INBRE Program","2022-04",166145.03
"INBRE Program","2022-05",49322.47
"INBRE Program","2022-06",87214.19
"INBRE Program","2022-07",82893.08
"INBRE Program","2022-08",64260.18
"INBRE Program","2022-09",70886.01
"INBRE Program","2022-10",60556.49
"INBRE Program","2022-11",62125.78
"INBRE Program","2022-12",53215.6
"INBRE Program","2023-01",49743.38
"INBRE Program","2023-02",90128.17
"INBRE Program","2023-03",70390.43
"INBRE Program","2023-04",106557.04
"INBRE Program","2023-05",50570.08
"INBRE Program","2023-06",64472.35
"INBRE Program","2023-07",60668.38
"INBRE Program","2023-08",76597.09
"INBRE Program","2023-09",58184.71
"INBRE Program","2023-10",55411.76
"INBRE Program","2023-11",53690.18
"INBRE Program","2023-12",47597.94
"INBRE Program","2024-01",45373.65
"INBRE Program","2024-02",56705.53
"INBRE Program","2024-03",88690.34
"INBRE Program","2024-04",85289.76
"INBRE Program","2024-05",40437
"INBRE Program","2024-06",52676.9
"INBRE Program","2024-07",58400.53
"INBRE Program","2024-08",68803.23
"INBRE Program","2024-09",59448.23
"INBRE Program","2024-10",94554.96
"INBRE Program","2024-11",52559.89
"INBRE Program","2024-12",49345.09
"INBRE Program","2025-01",50630.84
"INBRE Program","2025-02",285521.42
"INBRE Program","2025-03",121100.92
"INBRE Program","2025-04",162377.37
"INBRE Program","2025-05",37829.32
"INBRE Program","2025-06",432.54
"Industry & Strategic Partnerships Office","2024-09",1838.5
"Industry & Strategic Partnerships Office","2024-10",2336.25
"Industry & Strategic Partnerships Office","2024-11",2274.94
"Industry & Strategic Partnerships Office","2024-12",2282.82
"Industry & Strategic Partnerships Office","2025-01",2473.12
"Industry & Strategic Partnerships Office","2025-02",1729.22
"Industry & Strategic Partnerships Office","2025-03",1474.94
"Industry & Strategic Partnerships Office","2025-04",1406.14
"Industry & Strategic Partnerships Office","2025-05",1331.76
"Kinesiology & Health","2021-07",28430.73
"Kinesiology & Health","2021-08",19633.5
"Kinesiology & Health","2021-09",5318.04
"Kinesiology & Health","2021-10",5993.89
"Kinesiology & Health","2021-11",5370.86
"Kinesiology & Health","2021-12",5608.34
"Kinesiology & Health","2022-01",4898.38
"Kinesiology & Health","2022-02",3898.08
"Kinesiology & Health","2022-03",6973.32
"Kinesiology & Health","2022-04",3639.7
"Kinesiology & Health","2022-05",4292.92
"Kinesiology & Health","2022-06",10236
"Kinesiology & Health","2022-07",9491.89
"Kinesiology & Health","2022-08",20683.88
"Kinesiology & Health","2022-09",13989.63
"Kinesiology & Health","2022-10",4223.9
"Kinesiology & Health","2022-11",12290.04
"Kinesiology & Health","2022-12",5313.29
"Kinesiology & Health","2023-01",8455.27
"Kinesiology & Health","2023-02",5429.99
"Kinesiology & Health","2023-03",6120.86
"Kinesiology & Health","2023-04",4002.14
"Kinesiology & Health","2023-05",2807.27
"Kinesiology & Health","2023-06",2507.6
"Kinesiology & Health","2023-07",2694.93
"Kinesiology & Health","2023-08",11640.93
"Kinesiology & Health","2023-09",9134.54
"Kinesiology & Health","2023-10",5808.51
"Kinesiology & Health","2023-11",3589.82
"Kinesiology & Health","2023-12",2320.49
"Kinesiology & Health","2024-01",9978.09
"Kinesiology & Health","2024-02",1620.04
"Kinesiology & Health","2024-03",1471.43
"Kinesiology & Health","2024-04",376.35
"Kinesiology & Health","2024-05",1630.22
"Kinesiology & Health","2024-06",1103.34
"Kinesiology & Health","2024-07",5620.9
"Kinesiology & Health","2024-08",6814.58
"Kinesiology & Health","2024-09",5175.45
"Kinesiology & Health","2024-10",4973.32
"Kinesiology & Health","2024-11",6097.69
"Kinesiology & Health","2024-12",4540.32
"Kinesiology & Health","2025-01",3060.41
"Kinesiology & Health","2025-02",4225.04
"Kinesiology & Health","2025-03",4549.54
"Kinesiology & Health","2025-04",4426.35
"Kinesiology & Health","2025-05",1494.07
"Kinesiology & Health","2025-06",130
"Libraries Deans Office","2021-09",9361.42
"Libraries Deans Office","2021-10",1827.48
"Libraries Deans Office","2021-11",1827.48
"Libraries Deans Office","2021-12",1827.48
"Libraries Deans Office","2022-01",2138.29
"Libraries Deans Office","2022-02",2592.82
"Libraries Deans Office","2022-03",2093.36
"Libraries Deans Office","2022-04",2004.77
"Libraries Deans Office","2022-05",2149.97
"Libraries Deans Office","2022-06",2319.97
"Libraries Deans Office","2022-07",409.11
"Libraries Deans Office","2022-08",943.52
"Libraries Deans Office","2022-09",835.38
"Libraries Deans Office","2022-10",988.7
"Libraries Deans Office","2022-11",409.11
"Libraries Deans Office","2022-12",409.11
"Libraries Deans Office","2023-01",409.11
"Libraries Deans Office","2023-02",686.09
"Libraries Deans Office","2023-03",769.6
"Libraries Deans Office","2023-04",590.8
"Libraries Deans Office","2023-05",2226.93
"Libraries Deans Office","2023-06",2226.93
"Libraries Deans Office","2023-07",2273.62
"Libraries Deans Office","2023-08",2420.6
"Libraries Deans Office","2023-09",2273.62
"Libraries Deans Office","2023-10",2273.62
"Libraries Deans Office","2023-11",2273.62
"Libraries Deans Office","2023-12",2273.62
"Libraries Deans Office","2024-01",2273.62
"Libraries Deans Office","2024-02",2273.62
"Libraries Deans Office","2024-03",2273.62
"Libraries Deans Office","2024-04",2273.62
"Libraries Deans Office","2024-05",2660.61
"Libraries Deans Office","2024-06",2461.32
"Libraries Deans Office","2024-07",2238.12
"Libraries Deans Office","2024-08",2309.52
"Libraries Deans Office","2024-09",2894.9
"Libraries Deans Office","2024-10",2430.62
"Libraries Deans Office","2024-11",2506.81
"Libraries Deans Office","2024-12",2238.12
"Libraries Deans Office","2025-01",2379.22
"Libraries Deans Office","2025-02",2238.12
"Libraries Deans Office","2025-03",2238.12
"Libraries Deans Office","2025-04",2501.28
"Libraries Education & Research Services","2021-07",1737.77
"Libraries Education & Research Services","2021-08",1626.08
"Libraries Education & Research Services","2021-09",1675.16
"Libraries Education & Research Services","2021-10",2425.95
"Libraries Education & Research Services","2021-11",1659.11
"Libraries Education & Research Services","2021-12",1571.19
"Libraries Education & Research Services","2022-01",1732.61
"Libraries Education & Research Services","2022-02",1702.15
"Libraries Education & Research Services","2022-03",1630.83
"Libraries Education & Research Services","2022-04",1891.1
"Libraries Education & Research Services","2022-05",1634.19
"Libraries Education & Research Services","2022-06",1760.82
"Libraries Education & Research Services","2022-07",1751.54
"Libraries Education & Research Services","2022-08",2007.83
"Libraries Education & Research Services","2022-09",2914.88
"Libraries Education & Research Services","2022-10",2028.79
"Libraries Education & Research Services","2022-11",1793.08
"Libraries Education & Research Services","2022-12",1869.02
"Libraries Education & Research Services","2023-01",1702.6
"Libraries Education & Research Services","2023-02",1869.02
"Libraries Education & Research Services","2023-03",1877.56
"Libraries Education & Research Services","2023-04",2034.49
"Libraries Education & Research Services","2023-05",1830.24
"Libraries Education & Research Services","2023-06",1836.87
"Libraries Education & Research Services","2023-07",1956.34
"Libraries Education & Research Services","2023-08",1656.47
"Libraries Education & Research Services","2023-09",10661.28
"Libraries Education & Research Services","2023-10",2222.09
"Libraries Education & Research Services","2023-11",1945.42
"Libraries Education & Research Services","2023-12",1998.7
"Libraries Education & Research Services","2024-01",2124.16
"Libraries Education & Research Services","2024-02",1791.85
"Libraries Education & Research Services","2024-03",2010.04
"Libraries Education & Research Services","2024-04",2007.88
"Libraries Education & Research Services","2024-05",2016.7
"Libraries Education & Research Services","2024-06",2071.06
"Libraries Education & Research Services","2024-07",1931.38
"Libraries Education & Research Services","2024-08",1927.95
"Libraries Education & Research Services","2024-09",2586.1
"Libraries Education & Research Services","2024-10",2142.45
"Libraries Education & Research Services","2024-11",2035.54
"Libraries Education & Research Services","2024-12",1994.6
"Libraries Education & Research Services","2025-01",1992.18
"Libraries Education & Research Services","2025-02",1923.54
"Libraries Education & Research Services","2025-03",1965.67
"Manufacturing Works","2021-07",10948.57
"Manufacturing Works","2021-08",14933.02
"Manufacturing Works","2021-09",16423.17
"Manufacturing Works","2021-10",12262.46
"Manufacturing Works","2021-11",11836.86
"Manufacturing Works","2021-12",15219.53
"Manufacturing Works","2022-01",10991.6
"Manufacturing Works","2022-02",12975.76
"Manufacturing Works","2022-03",18239.42
"Manufacturing Works","2022-04",11385.51
"Manufacturing Works","2022-05",13537.81
"Manufacturing Works","2022-06",11136.17
"Manufacturing Works","2022-07",14995.26
"Manufacturing Works","2022-08",14618.43
"Manufacturing Works","2022-09",15442.89
"Manufacturing Works","2022-10",16154.84
"Manufacturing Works","2022-11",15077.09
"Manufacturing Works","2022-12",15180.78
"Manufacturing Works","2023-01",16883.58
"Manufacturing Works","2023-02",13960.02
"Manufacturing Works","2023-03",17446.85
"Manufacturing Works","2023-04",17928.06
"Manufacturing Works","2023-05",13556.41
"Manufacturing Works","2023-06",14376.74
"Manufacturing Works","2023-07",14942.34
"Manufacturing Works","2023-08",25495.7
"Manufacturing Works","2023-09",18766.96
"Manufacturing Works","2023-10",18021.91
"Manufacturing Works","2023-11",17406.02
"Manufacturing Works","2023-12",15412.07
"Manufacturing Works","2024-01",17486.51
"Manufacturing Works","2024-02",14610.65
"Manufacturing Works","2024-03",15474.6
"Manufacturing Works","2024-04",21080.53
"Manufacturing Works","2024-05",19073.52
"Manufacturing Works","2024-06",17640.82
"Manufacturing Works","2024-07",22661.01
"Manufacturing Works","2024-08",14466.62
"Manufacturing Works","2024-09",18352.38
"Manufacturing Works","2024-10",21113.96
"Manufacturing Works","2024-11",21163.15
"Manufacturing Works","2024-12",23624.23
"Manufacturing Works","2025-01",20942.43
"Manufacturing Works","2025-02",22053.69
"Manufacturing Works","2025-03",17616.39
"Manufacturing Works","2025-04",9363.86
"Manufacturing Works","2025-05",16650.71
"Manufacturing Works","2025-06",332.82
"Mathematics & Statistics","2021-07",9321.18
