"Proposal #","Admin Unit","Instrument Type","PI.x","sponsor type","Prime Sponsor","Project End Date","Project Start Date","Project Title","Proposal Type","Sponsor","Status","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","College/Division","Total Sponsor Costs","Comments","Date","Year","PI.y","Title","Agency","Program","Completion Date","Internal","External","Other","Awarded_Status_By_TIG","Comment by Nick","Correct_Proposal_Status"
"24-0533-P0001","Mechanical Engineering",,"Jonathan W. Naughton","Industry","National Aeronautics and Space Administration","3/7/2027","3/8/2024","NASA Langley OFI Support","New","Analytical Mechanics Associates","Funded",2024-04-01 20:09:58,,2024-04-01 14:10:14,,"FY2024",,"FY2024",,2023-10-31 16:58:31,"FY2024",153,0,,"Engineering",0,,,,,,,,,,,,,,
"24-0533-P0002","Mechanical Engineering",,"Jonathan W. Naughton","Industry","National Aeronautics and Space Administration","9/30/2024","5/1/2024","NASA Langley OFI Support","New","Analytical Mechanics Associates","Funded",2024-05-14 21:15:07,,2024-06-17 16:50:10,,"FY2024",,"FY2024",,2024-05-03 16:45:42,"FY2024",11,34,,"Engineering",18444,,,,,,,,,,,,,,
"24-0533-P0003","Mechanical Engineering",,"Jonathan W. Naughton","U.S. Federal Government",,"2/21/2025","5/1/2024","NASA Langley OFI Support","Supplement","Analytical Mechanics Associates","Funded",2024-10-07 14:57:22,,2025-04-25 14:33:23,,"FY2025",,"FY2025",,2024-09-24 14:50:37,"FY2025",13,200,,"Engineering",27258,,,,,,,,,,,,,,
"24-0536-P0001","Electrical Engineering & Computer Science",,"Lars Kotthoff","Non-Profit Organizations",,"5/31/2026","6/1/2024","Automated Machine Learning in R","New","ADD NEW","Not Funded",2023-12-05 22:55:21,,,2025-05-14 16:35:39,"FY2024",,,"FY2025",2023-11-02 13:31:46,"FY2024",33,,526,"Engineering",399534,,,,,,,,,,,,,,
"24-0538-P0001","Physics & Astronomy",,"TeYu Chien","U.S. Federal Government",,"6/30/2027","7/1/2024","MRI: Track 3 Acquisition of a Helium Recovery, Purification, and Reliquefying System","New","National Science Foundation","Not Funded",2023-11-15 20:11:33,,,2025-05-14 16:37:23,"FY2024",,,"FY2025",2023-11-02 16:26:03,"FY2024",13,,546,"Engineering",713735,,,,,,,,,,,,,,
"24-0539-P0001","Student Educational Opportunity",,"Felicia Elizabeth Killworth","U.S. Federal Government",,"8/31/2027","9/1/2022","Upward Bound Math and Science","New","Department of Education","Funded",2023-11-02 22:41:36,,2024-12-23 09:37:25,,"FY2024",,"FY2025",,2023-11-02 16:27:12,"FY2024",0,416,,"Academic Affairs",1767950,,,,,,,,,,,,,,
"24-0540-P0001","Physics & Astronomy",,"Michael J Pierce","U.S. Federal Government",,"6/30/2027","7/1/2024","Development of Gravitational Lensing Simulations and Analysis Tools for the  Measurement of Cosmological Parallax","New","National Science Foundation","Not Funded",2023-11-15 16:57:50,,,2024-05-16 08:26:32,"FY2024",,,"FY2024",2023-11-03 11:17:18,"FY2024",12,,183,"Engineering",454886,,,,,,,,,,,,,,
"24-0541-P0001","Chemistry",,"Robin Rogers","U.S. Federal Government",,"6/30/2025","2/1/2023","DOE-BES Heavy Elements","New","U.S. Department of Energy","Funded",2023-11-03 12:05:05,,2025-05-05 14:20:38,,"FY2024",,"FY2025",,2023-11-03 12:05:05,"FY2024",0,549,,"Engineering",291757,"Created Date Imputed because Submission Date is missing for Funded proposal!",,,,,,,,,,,,,
"24-0542-P0001","Botany",,"Ellen D. Currano","U.S. Federal Government",,"9/30/2028","10/1/2024","Collaborative Research: Sustained Resources: Broader Solutions for Paleobotany: open access research with integrated analytics and resources, community discourse, and open content with educational tools","New","National Science Foundation","Not Funded",2023-11-30 15:42:37,,,2024-07-19 08:06:51,"FY2024",,,"FY2025",2023-11-03 12:53:50,"FY2024",27,,232,"Agriculture",373911,,,,,,,,,,,,,,
"24-0543-P0001","IMPACT 307",,"Joshua S. Keefe","Wyoming State Governmental Entities",,"6/30/2026","7/1/2024","Statewide Startup Incubation Services","Pre-proposal","Wyoming Business Council","Not Funded",2023-11-09 23:20:50,,,2025-05-14 16:40:05,"FY2024",,,"FY2025",2023-11-06 11:30:30,"FY2024",3,,552,"Research & Economic Development",2633616,,,,,,,,,,,,,,
"24-0545-P0001","Wyoming Institute for Humanities",,"Scott Henkel","U.S. Federal Government",,"9/30/2025","10/1/2024","Experiments in Democracy","New","National Endowment for the Humanities","Not Funded",2023-11-07 11:28:11,,,2024-08-12 09:01:19,"FY2024",,,"FY2025",2023-11-07 11:28:11,"FY2024",0,,279,"Research & Economic Development",48968,"Created Date Imputed because Submission Date is missing for Not Funded proposal!",,,,,,,,,,,,,
"24-0547-P0001","Energy & Petroleum Engineering",,"Maohong Fan","U.S. Federal Government","U.S. Department of Energy","9/30/2026","10/1/2024","Enhanced Recovery of Critical Minerals and Materials (CMMs)","New","ADD NEW","Not Funded",2023-11-10 23:39:59,,,2025-05-14 16:41:32,"FY2024",,,"FY2025",2023-11-07 11:54:30,"FY2024",3,,551,"Engineering",500000,,,,,,,,,,,,,,
"24-0549-P0001","Economics",,"David C. Finnoff","U.S. Federal Government","National Science Foundation","7/31/2031","8/1/2024","PIPP Phase II: Theme 4: Human Systems - The Center for Analysis and Prediction of Pandemic Expansion (APPEX)","New","University of Tennessee, Knoxville","Funded",2023-11-10 23:01:07,2024-07-16 10:28:02,2024-09-05 12:51:09,,"FY2024","FY2025","FY2025",,2023-11-07 13:08:26,"FY2024",3,300,,"Business",87133,,,,,,,,,,,,,,
"24-0551-P0001","Chemistry",,"John O. Hoberg","U.S. Federal Government",,"8/14/2027","8/15/2024","Modifiable Graphene-like Covalent Organic Frameworks (COFs) for Rare Earth separations","Resubmission","U.S. Department of Energy","Not Funded",2023-12-04 20:18:03,,,2024-06-20 15:19:41,"FY2024",,,"FY2024",2023-11-07 14:39:55,"FY2024",27,,199,"Engineering",772908,,,,,,,,,,,,,,
"24-0552-P0001","Civil & Architectural Engineering & Construction Management",,"Jonathan A. Brant","U.S. Federal Government",,"5/31/2026","6/1/2024","REDUCING THE ENERGY CONSUMPTION OF INLAND DESALINATION SYSTEMS WITH MAGNETICALLY ASSISTED REVERSE OSMOSIS","New","Bureau of Reclamation/Department of the Interior","Not Funded",2023-11-14 21:14:22,,,2024-04-18 11:45:58,"FY2024",,,"FY2024",2023-11-07 17:16:18,"FY2024",7,,156,"Engineering",249942,,,,,,,,,,,,,,
"24-0553-P0001","Molecular Biology",,"Eunsook Park","U.S. Federal Government",,"2/29/2028","3/1/2024","MRI-TRACK I: Acquisition of a Super-resolution Fluorescence Lifetime Imaging (FLIM) Microscope to Track Molecular Dynamics in living organisms","Resubmission","National Science Foundation","Not Funded",2023-11-15 18:58:24,,,2024-03-28 10:30:13,"FY2024",,,"FY2024",2023-11-07 21:30:56,"FY2024",8,,134,"Agriculture",1399641,,"February",2023,"Park","Acquisition of a Leica STELLARIS 8 FALCON STED Confocal Microscope","NSF","MRI","2.20.23","X",,,,,"Not Funded"
"24-0553-P0002","Molecular Biology",,"Eunsook Park","U.S. Federal Government",,"2/28/2029","3/1/2025","MRI-TRACK I: Acquisition of a Super-resolution Fluorescence Lifetime Imaging (FLIM) Microscope to Track Molecular Dynamics in living organisms","Resubmission","National Science Foundation","Submitted to Sponsor",2024-11-15 23:16:07,,,,"FY2025",,,,2024-11-07 15:25:07,"FY2025",8,,,"Agriculture",1272028,,,,,,,,,,,,,,
"24-0554-P0001","School of Energy Resources Directors Office",,"Charles W. Nye","Wyoming State Governmental Entities",,"11/30/2025","12/1/2023","Integration of Produced Water Thermal Desalination and Steam Methane Reforming for Efficient Hydrogen Production","New","Wyoming Energy Authority","Not Submitted to Sponsor",2024-02-19 21:23:51,2024-02-19 14:24:11,,,"FY2024","FY2024",,,2023-11-08 08:57:42,"FY2024",104,,,"School of Energy Resources",3300000,,,,,,,,,,,,,,
"24-0555-P0001","IMPACT 307",,"Scot Charles Rendall","Wyoming State Governmental Entities",,"2/28/2024","10/1/2023","IMPACT 307 - Gillette SUC - WBC Award","New","Wyoming Business Council","Funded",2024-02-12 19:22:59,,2024-03-21 13:22:50,,"FY2024",,"FY2024",,2023-11-08 15:30:54,"FY2024",96,38,,"Research & Economic Development",18250,,,,,,,,,,,,,,
"24-0555-P0002","IMPACT 307",,"Derrek Alton Jerred","Wyoming State Governmental Entities",,"3/31/2024","3/25/2024","IMPACT 307 - Gillette SUC - WBC Award","Non-Competing Continuation","Wyoming Business Council","Funded",2024-03-27 18:33:42,,2024-03-27 12:34:01,,"FY2024",,"FY2024",,2024-03-21 09:16:15,"FY2024",6,0,,"Research & Economic Development",18250,,,,,,,,,,,,,,
"24-0556-P0001","Atmospheric Science",,"Stefan Reed Rahimi-Esfarjani","U.S. Federal Government","National Oceanic and Atmospheric Administration/Department of Commerce","8/31/2027","9/1/2024","Understanding and predicting severe weather hazards in changing climates with artificial intelligence.","New","University of Oklahoma","Not Funded",2023-11-14 22:48:39,,,2025-05-14 16:42:26,"FY2024",,,"FY2025",2023-11-08 16:17:55,"FY2024",6,,547,"Engineering",263217,,,,,,,,,,,,,,
"24-0557-P0001","Energy & Petroleum Engineering",,"Maohong Fan","U.S. Federal Government","U.S. Department of Energy","8/25/2025","8/26/2024","Solar Catalytic Chemical Looping Biomass Refinery","New","University of Oklahoma","Not Funded",2023-11-15 20:03:04,,,2025-06-04 10:49:10,"FY2024",,,"FY2025",2023-11-08 16:53:56,"FY2024",7,,567,"Engineering",50000,,,,,,,,,,,,,,
"24-0558-P0001","Civil & Architectural Engineering & Construction Management",,"Jonathan A. Brant","Industry",,"3/31/2025","1/1/2024","Methods, Systems, and Devices for Magnetocatalytic Process Intensification","Non-Competing Continuation","ADD NEW","Funded",2023-12-06 16:02:40,,2024-03-05 16:05:07,,"FY2024",,"FY2024",,2023-11-10 10:36:19,"FY2024",26,90,,"Engineering",1752847,,,,,,,,,,,,,,
"24-0559-P0001","UW Extension",,"Jeffrey Michael Edwards","U.S. Federal Government","Environmental Protection Agency","12/31/2024","1/1/2024","2024 PSEFMP funds to support American Association of Pesticide Safety Educators (AAPSE) member Professional Improvement","New","eXtension Foundation","Funded",2023-11-20 18:36:24,,2024-06-26 14:08:13,,"FY2024",,"FY2024",,2023-11-10 16:21:02,"FY2024",10,219,,"Agriculture",18685,,,,,,,,,,,,,,
"24-0560-P0001","Zoology & Physiology",,"Jacob R. Goheen","Wyoming State Governmental Entities",,"6/30/2026","7/1/2023","Population Viability and Source-Sink Dynamics of American Marten","New","Wyoming Game and Fish Department","Funded",2023-11-20 22:14:05,,2023-11-20 15:14:13,,"FY2024",,"FY2024",,2023-11-11 08:40:50,"FY2024",10,0,,"Agriculture",40000,,,,,,,,,,,,,,
"24-0563-P0001","Transportation Services",,"Paul W. Kunkel","Wyoming State Governmental Entities",,"12/31/2026","11/1/2023","FY24 5339 Capital Assistance - Computers","New","Wyoming Department of Transportation","Funded",2023-11-27 20:56:43,,2023-11-27 13:56:50,,"FY2024",,"FY2024",,2023-11-13 14:32:40,"FY2024",14,0,,"Campus Operations",6080,,,,,,,,,,,,,,
"24-0564-P0001","Physics & Astronomy",,"Wenyong Wang","Industry","National Science Foundation","5/31/2025","6/1/2024","SBIR/STTR: Nanowires for high current field emission","New","ADD NEW","Submitted to Sponsor",2023-12-06 20:27:31,,,,"FY2024",,,,2023-11-13 14:47:38,"FY2024",23,,,"Engineering",63743,,,,,,,,,,,,,,
"24-0565-P0001","Transportation Services",,"Paul W. Kunkel","Wyoming State Governmental Entities",,"12/31/2026","10/1/2023","FY24 5339 Capital Assistance: Shop Equipment","New","Wyoming Department of Transportation","Funded",2023-11-27 20:52:34,,2023-11-27 13:52:41,,"FY2024",,"FY2024",,2023-11-13 14:58:20,"FY2024",14,0,,"Campus Operations",72722,,,,,,,,,,,,,,
"24-0566-P0001","Transportation Services",,"Paul W. Kunkel","Wyoming State Governmental Entities",,"12/31/2026","10/1/2023","FY24 Capital Assistance: Four (4) Cutaway Buses","New","Wyoming Department of Transportation","Funded",2023-11-27 20:48:36,,2023-11-27 13:49:24,,"FY2024",,"FY2024",,2023-11-13 15:04:40,"FY2024",14,0,,"Campus Operations",408000,,,,,,,,,,,,,,
"24-0567-P0001","Transportation Services",,"Paul W. Kunkel","Wyoming State Governmental Entities",,"12/31/2026","10/1/2023","FY24 5339 Capital Assistance: Minivans/SUV's","New","Wyoming Department of Transportation","Funded",2023-11-27 20:43:07,,2023-11-27 13:43:14,,"FY2024",,"FY2024",,2023-11-13 15:35:10,"FY2024",14,0,,"Campus Operations",90000,,,,,,,,,,,,,,
"24-0568-P0001","Transportation Services",,"Paul W. Kunkel","Wyoming State Governmental Entities",,"12/31/2026","10/1/2023","FY24 5339 Capital Assistance: ADA Van","New","Wyoming Department of Transportation","Funded",2023-11-27 20:35:21,,2023-11-27 13:35:31,,"FY2024",,"FY2024",,2023-11-13 15:45:54,"FY2024",14,0,,"Campus Operations",89250,,,,,,,,,,,,,,
"24-0569-P0001","Electrical Engineering & Computer Science",,"Nga Thi Thanh Nguyen","U.S. Federal Government",,"8/1/2027","8/1/2024","EPSCOR Track II: Enhancing Climate Change Resilience and Energy Justice for Rural Communities","Pre-proposal","National Science Foundation","Not Funded",2024-01-25 17:52:25,,,2025-05-14 16:47:41,"FY2024",,,"FY2025",2023-11-14 09:46:30,"FY2024",72,,475,"Engineering",2000000,,,,,,,,,,,,,,
"24-0570-P0001","Wyoming Survey & Analysis Center",,"Laurel Allison Wimbish","Other State and Local Governmental Entities",,"11/29/2024","1/1/2024","Bismarck DFC Core Survey","Other","Bismarck Burleigh Public Health","Funded",2023-12-05 17:32:18,,2023-12-12 16:49:26,,"FY2024",,"FY2024",,2023-11-14 10:48:37,"FY2024",21,7,,"Research & Economic Development",5025,,,,,,,,,,,,,,
"24-0571-P0001","Wyoming Coop Unit",,"Jerod Andrew Merkle","Institutions of Higher Education","National Science Foundation","4/30/2027","5/1/2024","Migration Mapper","New","University of Central Florida","Not Funded",2023-12-18 21:27:21,,,2025-05-14 16:49:01,"FY2024",,,"FY2025",2023-11-14 11:05:03,"FY2024",34,,513,"Agriculture",26010,,,,,,,,,,,,,,
"24-0573-P0001","Wyoming Coop Unit",,"Anna Lisa D. Chalfoun","Wyoming State Governmental Entities",,"6/30/2027","7/1/2024","Pygmy Rabbits","New","Wyoming Game and Fish Department","Funded",2023-12-15 21:21:00,,2024-07-25 13:44:53,,"FY2024",,"FY2025",,2023-11-14 12:52:38,"FY2024",31,223,,"Agriculture",166880,,,,,,,,,,,,,,
"24-0574-P0001","Wyoming Coop Unit",,"Anna Lisa D. Chalfoun","Wyoming State Governmental Entities",,"6/30/2026","7/1/2024","Forest Songbird Declines","New","Wyoming Game and Fish Department","Funded",2023-12-15 21:20:18,2024-05-07 11:37:02,2024-06-05 07:43:22,,"FY2024","FY2024","FY2024",,2023-11-14 13:00:43,"FY2024",31,172,,"Agriculture",65011,,,,,,,,,,,,,,
"24-0575-P0001","Ecosystem Science & Management",,"Tucker James Furniss","U.S. Federal Government",,"8/31/2026","9/1/2024","Assessing wildfire-related carbon dynamics with direct flux measurements","New","U.S. Department of Energy","Not Funded",2024-02-27 21:47:34,,,2024-07-26 16:19:02,"FY2024",,,"FY2025",2023-11-14 13:13:55,"FY2024",105,,150,"Agriculture",399024,,,,,,,,,,,,,,
"24-0576-P0001","Enhanced Oil Recovery Institute",,"Eric Partridge Robertson","Non-Profit Organizations","U.S. Department of Energy","3/31/2025","9/1/2023","Time's Ticking: Embarking on the Wyoming Trails Carbon Hub (""WyoTCH"")","New","Carbon Solutions, LLC","Funded",2024-01-10 21:08:10,2024-01-11 10:42:57,2024-01-24 10:25:49,,"FY2024","FY2024","FY2024",,2023-11-15 11:00:22,"FY2024",56,14,,"School of Energy Resources",604833,,,,,,,,,,,,,,
"24-0577-P0001","Anthropology",,"Lauren Alyssa Hayes","Non-Profit Organizations",,"12/31/2024","1/1/2024","Walking the Line: Gender, Communication, and the New Manufacturing Workplace in Appalachia",,"ADD NEW","Funded",2023-11-29 22:29:14,,2023-12-06 09:24:15,,"FY2024",,"FY2024",,2023-11-15 12:05:52,"FY2024",14,6,,"Arts & Sciences",40000,,,,,,,,,,,,,,
"24-0579-P0001","Pharmacy",,"Nervana Elkhadragy","Institutions of Higher Education","National Cancer Institute/National Institutes of Health/Department of Health and Human Services","8/31/2024","9/1/2023","Advancing the Role of Pharmacy in Tobacco Cessation","New","Purdue University","Funded",2024-01-22 16:12:41,,2024-02-21 11:22:44,,"FY2024",,"FY2024",,2023-11-15 14:02:26,"FY2024",68,30,,"Health Sciences",13695,,,,,,,,,,,,,,
"24-0580-P0001","Botany",,"Cynthia Weinig","U.S. Federal Government",,"4/30/2027","5/1/2023","ORCC: Enhancing mechanistic insights into plant-microbe feedbacks to understand recovery in wildlands affected by climate change and fire disturbance","New","National Science Foundation","Not Funded",2023-11-16 00:04:57,,,2023-11-15 17:06:04,"FY2024",,,"FY2024",2023-11-15 16:59:00,"FY2024",0,,0,"Agriculture",989164,,,,,,,,,,,,,,
"24-0580-P0002","Botany",,"Cynthia Weinig","U.S. Federal Government",,"6/30/2028","7/1/2024","ORCC: Enhancing mechanistic insights into plant-microbe feedbacks to understand recovery in wildlands affected by climate change and fire disturbance","Resubmission","National Science Foundation","Not Funded",2023-12-20 23:15:19,,,2024-04-23 07:07:42,"FY2024",,,"FY2024",2023-11-15 17:06:30,"FY2024",35,,124,"Agriculture",798106,,,,,,,,,,,,,,
"24-0581-P0001","School of Energy Resources Directors Office",,"Scott Austin Quillinan","U.S. Federal Government",,"1/1/2029","1/1/2024","Wyoming Integrated Test Center Operations and Engineering Support","Pre-proposal","U.S. Department of Energy","Not Funded",2023-11-17 22:50:01,,,2024-01-12 14:40:13,"FY2024",,,"FY2024",2023-11-15 20:05:26,"FY2024",2,,56,"School of Energy Resources",18590000,,,,,,,,,,,,,,
"24-0582-P0001","Energy & Petroleum Engineering",,"Maohong Fan","U.S. Federal Government","U.S. Department of Energy","9/30/2025","10/1/2023","UINTA BASIN CARBONSAFE II: STORAGE COMPLEX FEASIBILITY","New","University of Utah","Funded",2023-11-25 16:38:34,2024-02-14 10:48:32,2024-03-07 11:35:17,,"FY2024","FY2024","FY2024",,2023-11-16 11:45:59,"FY2024",9,103,,"Engineering",200000,,,,,,,,,,,,,,
"24-0584-P0001","Wyoming Survey & Analysis Center",,"Laurel Allison Wimbish","Wyoming Local Governmental Entities",,"5/31/2024","1/1/2024","Joint Teton County and Town of Jackson 2024 Annual Indicator Report Review and Update","New","Teton County","Not Funded",2023-12-05 17:30:52,,,2025-05-14 16:50:52,"FY2024",,,"FY2025",2023-11-16 14:33:20,"FY2024",19,,526,"Research & Economic Development",59996.06,,,,,,,,,,,,,,
"24-0585-P0001","Zoology & Physiology",,"Nicole Lara Bedford","U.S. Federal Government",,"8/31/2027","9/1/2024","Organismal Response to Climate Change (ORCC)","New","National Science Foundation","Not Funded",2023-12-13 21:27:14,,,2024-04-24 08:27:18,"FY2024",,,"FY2024",2023-11-17 09:15:04,"FY2024",27,,132,"Agriculture",648101,,,,,,,,,,,,,,
"24-0587-P0001","Haub School of Environment & Natural Resources",,"Temple Leigh Stoellinger","Wyoming State Governmental Entities",,"1/31/2024","10/16/2023","Expedited FNRPA Request for County Natural Resource Plan","New","Wyoming Governor's Office","Funded",2023-12-20 16:39:42,2023-12-20 09:41:11,2024-03-18 14:20:29,,"FY2024","FY2024","FY2024",,2023-11-17 11:39:37,"FY2024",33,89,,"Haub School of Environment & Natural Resources",64680,,,,,,,,,,,,,,
"24-0588-P0001","School of Energy Resources Directors Office",,"Robert W. Gregory","U.S. Federal Government","U.S. Department of Energy","9/30/2026","10/1/2024","Additive Manufacturing of Ceramic Zeolite Filters for CO2 Direct Air Capture Using Rare Earth Elements/Critical Mineral Associated Mineral Streams","New","National Energy Technology Laboratory/U.S. Department of Energy","Not Funded",2023-12-06 22:58:24,,,2025-05-14 16:52:38,"FY2024",,,"FY2025",2023-11-17 13:08:30,"FY2024",19,,525,"School of Energy Resources",399954,,,,,,,,,,,,,,
"24-0589-P0001","Wyoming Coop Unit",,"Matthew Kauffman","Wyoming State Governmental Entities",,"6/30/2028","7/1/2023","Jackson Moose Calf - WGFD","New","Wyoming Game and Fish Department","Funded",2023-12-06 20:52:08,,2023-12-18 15:27:42,,"FY2024",,"FY2024",,2023-11-17 14:57:17,"FY2024",19,12,,"Agriculture",30000,,,,,,,,,,,,,,
"24-0590-P0001","Botany",,"Catherine E. Wagner","Foreign Organizations","ADD NEW","12/31/2027","1/30/2024","CHIPOLATA - Climate change and harvesting impacts on the pelagic fish community of Lake Tanganyika","Other","ADD NEW","Funded",2024-02-08 16:03:23,,2024-02-12 12:15:20,,"FY2024",,"FY2024",,2023-11-17 15:36:12,"FY2024",83,4,,"Agriculture",28470.96,,,,,,,,,,,,,,
"24-0591-P0001","Wyoming Coop Unit",,"Jerod Andrew Merkle","Wyoming State Governmental Entities",,"6/30/2028","7/1/2023","Exploratory Behavior in Mule Deer","New","Wyoming Game and Fish Department","Funded",2023-12-18 18:31:21,,2023-12-18 15:28:41,,"FY2024",,"FY2024",,2023-11-20 10:53:37,"FY2024",28,0,,"Agriculture",40000,,,,,,,,,,,,,,
"24-0592-P0001","Wyoming Institute for Disabilities WIND",,"Canyon Leigh Hardesty","Non-Profit Organizations",,"8/31/2024","1/9/2024","Family Voices National: Medicaid Unwinding","Pre-proposal","Family Voices","Funded",2024-01-10 22:45:17,,2024-04-08 09:44:32,,"FY2024",,"FY2024",,2023-11-20 11:30:14,"FY2024",51,88,,"Health Sciences",8500,,,,,,,,,,,,,,
"24-0593-P0001","Modern & Classical Languages",,"Yan Zhang","Industry",,"12/31/2024","1/1/2024","UW-UTAR Global Connections: Malaysian Cultural Research and Community Service Experiential Learning","New","The World Learning, Inc.","Funded",2023-12-21 22:34:26,,2024-01-11 11:56:41,2023-12-21 15:33:45,"FY2024",,"FY2024","FY2024",2023-11-20 11:49:29,"FY2024",31,21,0,"Arts & Sciences",5000,,,,,,,,,,,,,,
"24-0594-P0001","Plant Sciences",,"Brian A Mealor","Non-Profit Organizations",,"12/31/2026","1/1/2024","Wind River Bighorn Basin Invasive Grasses Position","Other","Pheasants Forever","Funded",2023-11-29 17:58:05,2023-12-18 11:23:20,2024-01-22 09:47:40,,"FY2024","FY2024","FY2024",,2023-11-21 08:13:46,"FY2024",8,54,,"Agriculture",309114,,,,,,,,,,,,,,
"24-0595-P0002","School of Computing",,"Andrew Christopher Kirby","U.S. Federal Government",,"5/31/2028","6/1/2025","Elements: Modernizing the Open-Source Topology Independent Overset Grid Assembler (TIOGA) for Exascale Computational Science","New","National Science Foundation","Submitted to Sponsor",2024-12-02 16:02:50,,,,"FY2025",,,,2024-11-05 15:20:03,"FY2025",27,,,"Engineering",600000,,,,,,,,,,,,,,
"24-0596-P0001","Zoology & Physiology",,"Corey E Tarwater","U.S. Federal Government",,"1/31/2027","6/1/2024","Predicting impacts of species loss on ecosystem resilience: an experimental test of a novel theoretical framework","New","Department of the Army","Funded",2024-02-17 00:14:54,2024-09-13 13:57:21,2025-05-05 14:37:47,,"FY2024","FY2025","FY2025",,2023-11-21 14:03:50,"FY2024",87,444,,"Agriculture",1380855,,,,,,,,,,,,,,
"24-0597-P0001","Wyoming Institute for Disabilities WIND",,"Amy Rieser","Wyoming State Governmental Entities",,"9/30/2025","10/1/2024","Person-Centered Plans of Care_Bright Ideas","New","Wyoming Governor's Council on Developmental Disabilities","Not Funded",2024-01-12 23:11:29,,,2025-01-14 12:05:33,"FY2024",,,"FY2025",2023-11-27 09:14:35,"FY2024",47,,368,"Health Sciences",34480,,,,,,,,,,,,,,
"24-0598-P0001","Wyoming Institute for Disabilities WIND",,"Canyon Leigh Hardesty","Institutions of Higher Education",,"9/30/2023","1/30/2024","Post - Secondary Program Planning and Collaboration","New","North Dakota Center for Persons with Disabilities","Funded",2024-02-09 19:00:34,,2024-04-10 15:43:55,,"FY2024",,"FY2024",,2023-11-27 11:50:47,"FY2024",74,61,,"Health Sciences",52457,,,,,,,,,,,,,,
"24-0598-P0002","Wyoming Institute for Disabilities WIND",,"Canyon Leigh Hardesty","Institutions of Higher Education","Department of Education","9/30/2025","10/1/2024","Post - Secondary Program Planning and Collaboration","Renewal","ADD NEW","Funded",2024-10-15 21:07:06,2024-10-15 15:07:22,2024-11-21 12:45:06,,"FY2025","FY2025","FY2025",,2024-09-25 15:27:11,"FY2025",20,37,,"Health Sciences",43500,,,,,,,,,,,,,,
"24-0599-P0001","Wyoming Institute for Disabilities WIND",,"Eric J Moody","U.S. Federal Government",,"10/31/2025","11/1/2024","Elevating Voices of Lived Experiences in Inclusive Community Based Research","New","Patient-Centered Outcomes Research Institute","Funded",2024-01-10 17:20:29,2024-04-26 13:37:33,2024-07-03 14:42:01,,"FY2024","FY2024","FY2025",,2023-11-27 12:59:02,"FY2024",44,175,,"Health Sciences",100000,,,,,,,,,,,,,,
"24-0600-P0001","Wyoming Institute for Disabilities WIND",,"Eric J Moody",,"National Institutes of Health/Department of Health and Human Services","6/30/2025","7/1/2023","Identifying and determining the effects of differential items functioning on the diagnostic accuracy of Autism Screeners","New","Georgia State University","Funded",2023-11-27 15:56:38,2024-05-29 11:31:38,2024-06-17 11:53:52,,"FY2024","FY2024","FY2024",,2023-11-27 15:56:38,"FY2024",0,203,,"Health Sciences",43261,"Created Date Imputed because Submission Date is missing for Funded proposal!",,,,,,,,,,,,,
"24-0601-P0001","School of Energy Resources Directors Office",,"Tyler Chandos Brown","U.S. Federal Government","U.S. Department of Energy","9/30/2026","10/1/2024","Mineral-Mediated Capture of Rare Earth Elements","New","Pacific Northwest National Laboratory/Battelle Energy Alliance, LLC/Battelle Memorial Institute","Not Funded",2023-12-20 19:24:28,,,2025-05-14 16:53:56,"FY2024",,,"FY2025",2023-11-28 08:25:18,"FY2024",22,,511,"School of Energy Resources",400213,,,,,,,,,,,,,,
"24-0602-P0001","Wyoming Institute for Disabilities WIND",,"Eric J Moody","Wyoming State Governmental Entities",,"12/31/2024","3/1/2024","Title V Maternal and Child Health Needs Assessment Community and Family Engagement","New","Wyoming Department of Health","Not Funded",2024-01-20 00:07:04,,,2025-01-14 12:06:14,"FY2024",,,"FY2025",2023-11-28 10:31:59,"FY2024",53,,360,"Health Sciences",119795,,,,,,,,,,,,,,
"24-0603-P0001","Haub School of Environment & Natural Resources",,"Tyler Joe Carroll","Non-Profit Organizations",,"12/1/2024","6/1/2024","American Trails Program Legacy Grant","Pre-proposal","ADD NEW","Funded",2023-12-05 17:29:05,2024-05-15 14:28:02,2024-06-24 15:07:26,,"FY2024","FY2024","FY2024",,2023-11-28 11:14:04,"FY2024",7,202,,"Haub School of Environment & Natural Resources",75000,,,,,,,,,,,,,,
"24-0604-P0001","Atmospheric Science",,"Daniel McCoy","U.S. Federal Government",,"8/31/2027","9/1/2024","Constraining ice processes in complex terrain through a fusion of in situ observations and perturbed parameter modelling","New","U.S. Department of Energy","Not Funded",2024-02-13 15:19:53,,,2024-07-09 12:14:53,"FY2024",,,"FY2025",2023-11-28 11:44:19,"FY2024",77,,147,"Engineering",571997,,"January",2024,"McCoy","Constraining ice processes in complex terrain through a fusion of in situ observations and perturbed parameter modelling","DOE","Atmospheric Science Research","1.29.24","X","X","X",,,"Not Funded"
